Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,237,237,237,"0,00","0,000%","4,21941","1,17","2,73","285,0"
Start TraDE container,1,171,171,171,"0,00","0,000%","5,84795","0,83","1,75","146,0"
Resolve TraDE API endpoint,1,178,178,178,"0,00","0,000%","5,61798","1,75","1,34","319,0"
Create a new TraDE DDG resource,1,74,74,74,"0,00","0,000%","13,51351","14,25","4,06","1080,0"
Deploy TraDE DDG model,1,354,354,354,"0,00","0,000%","2,82486","0,26","18,31","96,0"
Create ODE container,3,68,60,76,"6,55","0,000%","5,09338","1,42","3,80","285,0"
Start ODE container,3,176,159,196,"15,20","0,000%","4,38596","0,63","1,31","146,0"
Resolve ODE page,3,3576,276,10028,"4562,42","0,000%",",27889","2,49","0,06","9143,0"
Deploy P1 process model,1,1369,1369,1369,"0,00","0,000%",",73046","0,50","8,94","704,0"
Deploy P2 process model,1,1386,1386,1386,"0,00","0,000%",",72150","0,50","9,05","704,0"
Deploy P3 process model,1,1268,1268,1268,"0,00","0,000%",",78864","0,54","8,18","704,0"
Send request to P1: Warmup,50,2318,1402,5750,"1086,04","0,000%","2,06988","9,60","5,66","4748,8"
Send request to P1: Burst1,50,2025,1205,2412,"217,52","0,000%","2,35793","10,93","6,44","4748,8"
Send request to P1: Burst2,100,2421,1399,3494,"350,36","0,000%","2,03009","9,41","5,55","4748,9"
Send request to P1: Burst3,200,3374,1872,5309,"663,30","0,000%","1,46812","6,81","4,01","4749,5"
Send request to P1: Burst4,400,5142,2505,7920,"1064,21","0,000%",",96905","4,49","2,65","4749,7"
Send request to P1: Burst5,800,8981,4500,50073,"3631,55","0,000%",",55588","2,58","1,52","4749,9"
Stop ODE container,3,564,224,1241,"478,24","0,000%","1,63132","0,23","0,40","146,0"
Delete ODE container,3,67,58,75,"7,04","0,000%","1,79426","0,26","0,43","146,0"
Stop TraDE container,1,361,361,361,"0,00","0,000%","2,77008","0,39","0,68","146,0"
Delete TraDE container,1,1901,1901,1901,"0,00","0,000%",",52604","0,08","0,13","146,0"
Gesamt,1625,6398,58,50073,"3778,61","0,000%",",76945","3,53","2,09","4697,5"
