Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,178,178,178,"0,00","0,000%","5,61798","1,56","3,64","285,0"
Start TraDE container,1,140,140,140,"0,00","0,000%","7,14286","1,02","2,14","146,0"
Resolve TraDE API endpoint,1,177,177,177,"0,00","0,000%","5,64972","1,76","1,35","319,0"
Create a new TraDE DDG resource,1,71,71,71,"0,00","0,000%","14,08451","14,85","4,24","1080,0"
Deploy TraDE DDG model,1,404,404,404,"0,00","0,000%","2,47525","0,23","16,04","96,0"
Create ODE container,3,71,65,78,"5,35","0,000%","5,44465","1,52","4,06","285,0"
Start ODE container,3,166,156,174,"7,48","0,000%","4,60123","0,66","1,38","146,0"
Resolve ODE page,3,3550,95,10456,"4882,81","0,000%",",28053","2,50","0,06","9143,0"
Deploy P1 process model,1,1378,1378,1378,"0,00","0,000%",",72569","0,50","8,88","704,0"
Deploy P2 process model,1,1411,1411,1411,"0,00","0,000%",",70872","0,49","8,89","704,0"
Deploy P3 process model,1,1274,1274,1274,"0,00","0,000%",",78493","0,54","8,14","704,0"
Send request to P1: Warmup,50,2366,1553,5908,"1124,07","0,000%","2,02914","9,41","5,54","4748,8"
Send request to P1: Burst1,50,1622,960,2173,"268,69","0,000%","2,94048","13,64","8,03","4748,8"
Send request to P1: Burst2,100,2560,1422,3608,"454,64","0,000%","1,90002","8,81","5,19","4748,9"
Send request to P1: Burst3,200,3383,2173,5007,"572,27","0,000%","1,46580","6,80","4,01","4749,5"
Send request to P1: Burst4,400,4936,2098,7573,"925,78","0,000%","1,00885","4,68","2,76","4749,7"
Send request to P1: Burst5,795,8263,4100,20546,"1986,15","0,000%",",55342","2,57","1,51","4749,9"
Stop ODE container,3,260,232,305,"32,14","0,000%","3,22234","0,46","0,79","146,0"
Delete ODE container,3,69,59,78,"7,85","0,000%","4,01070","0,57","0,97","146,0"
Stop TraDE container,1,334,334,334,"0,00","0,000%","2,99401","0,43","0,73","146,0"
Delete TraDE container,1,1925,1925,1925,"0,00","0,000%",",51948","0,07","0,13","146,0"
Gesamt,1620,5984,59,20546,"2844,84","0,000%",",77442","3,55","2,11","4697,3"
