Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,163,163,163,"0,00","0,000%","6,13497","1,71","3,97","285,0"
Start TraDE container,1,179,179,179,"0,00","0,000%","5,58659","0,80","1,67","146,0"
Resolve TraDE API endpoint,1,171,171,171,"0,00","0,000%","5,84795","1,82","1,39","319,0"
Create a new TraDE DDG resource,1,78,78,78,"0,00","0,000%","12,82051","13,52","3,86","1080,0"
Deploy TraDE DDG model,1,427,427,427,"0,00","0,000%","2,34192","0,22","15,18","96,0"
Create ODE container,3,71,55,90,"14,45","0,000%","5,45455","1,52","4,07","285,0"
Start ODE container,3,162,156,166,"4,71","0,000%","4,53858","0,65","1,36","146,0"
Resolve ODE page,3,3531,76,9989,"4569,78","0,000%",",28172","2,52","0,06","9143,0"
Deploy P1 process model,1,1348,1348,1348,"0,00","0,000%",",74184","0,51","9,08","704,0"
Deploy P2 process model,1,1353,1353,1353,"0,00","0,000%",",73910","0,51","9,27","704,0"
Deploy P3 process model,1,1285,1285,1285,"0,00","0,000%",",77821","0,54","8,07","704,0"
Send request to P1: Warmup,50,2356,1451,5730,"1077,82","0,000%","2,04524","9,48","5,59","4748,8"
Send request to P1: Burst1,50,2133,1201,4007,"652,94","0,000%","2,25713","10,47","6,17","4748,8"
Send request to P1: Burst2,99,2867,792,22122,"3834,64","0,000%",",64816","3,01","1,77","4748,9"
Send request to P1: Burst3,199,3098,1589,23442,"2786,57","0,000%",",95875","4,45","2,62","4749,5"
Send request to P1: Burst4,395,5106,2873,11217,"1019,04","0,000%",",75262","3,49","2,06","4749,7"
Send request to P1: Burst5,800,8410,4870,13105,"1756,57","0,000%",",59340","2,75","1,62","4749,9"
Stop ODE container,3,573,230,1234,"467,06","0,000%","1,55682","0,22","0,38","146,0"
Delete ODE container,3,87,59,128,"29,49","0,000%","1,70940","0,24","0,41","146,0"
Stop TraDE container,1,310,310,310,"0,00","0,000%","3,22581","0,46","0,79","146,0"
Delete TraDE container,1,1896,1896,1896,"0,00","0,000%",",52743","0,08","0,13","146,0"
Gesamt,1618,6113,55,23442,"3117,69","0,000%",",70076","3,21","1,91","4697,2"
