Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,195,195,195,"0,00","0,000%","5,12821","1,43","3,32","285,0"
Start TraDE container,1,224,224,224,"0,00","0,000%","4,46429","0,64","1,34","146,0"
Resolve TraDE API endpoint,1,160,160,160,"0,00","0,000%","6,25000","1,95","1,49","319,0"
Create a new TraDE DDG resource,1,75,75,75,"0,00","0,000%","13,33333","14,06","4,01","1080,0"
Deploy TraDE DDG model,1,380,380,380,"0,00","0,000%","2,63158","0,25","17,05","96,0"
Create ODE container,3,77,68,83,"6,48","0,000%","5,03356","1,40","3,76","285,0"
Start ODE container,3,174,172,177,"2,05","0,000%","4,26136","0,61","1,28","146,0"
Resolve ODE page,3,3393,81,9718,"4473,89","0,000%",",29371","2,62","0,07","9143,0"
Deploy P1 process model,1,1352,1352,1352,"0,00","0,000%",",73964","0,51","9,05","704,0"
Deploy P2 process model,1,1357,1357,1357,"0,00","0,000%",",73692","0,51","9,24","704,0"
Deploy P3 process model,1,1291,1291,1291,"0,00","0,000%",",77459","0,53","8,04","704,0"
Send request to P1: Warmup,50,2362,1297,6058,"1158,48","0,000%","2,05584","9,53","5,62","4748,8"
Send request to P1: Burst1,50,1859,900,3105,"435,42","0,000%","2,57798","11,96","7,04","4748,8"
Send request to P1: Burst2,100,2507,1338,3919,"497,72","0,000%","1,92608","8,93","5,26","4748,9"
Send request to P1: Burst3,199,3313,1708,22960,"2787,38","0,000%",",90626","4,20","2,48","4749,5"
Send request to P1: Burst4,400,5039,2851,7504,"994,62","0,000%",",98924","4,59","2,70","4749,7"
Send request to P1: Burst5,800,8506,4501,14537,"1794,36","0,000%",",58637","2,72","1,60","4749,9"
Stop ODE container,3,547,204,1215,"472,18","0,000%","1,67411","0,24","0,41","146,0"
Delete ODE container,3,68,58,76,"7,48","0,000%","1,84388","0,26","0,44","146,0"
Stop TraDE container,1,296,296,296,"0,00","0,000%","3,37838","0,48","0,82","146,0"
Delete TraDE container,1,1901,1901,1901,"0,00","0,000%",",52604","0,08","0,13","146,0"
Gesamt,1624,6134,58,22960,"3031,56","0,000%",",76879","3,53","2,09","4697,4"
