Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,196,196,196,"0,00","0,000%","5,10204","1,42","3,30","285,0"
Start TraDE container,1,178,178,178,"0,00","0,000%","5,61798","0,80","1,68","146,0"
Resolve TraDE API endpoint,1,183,183,183,"0,00","0,000%","5,46448","1,70","1,30","319,0"
Create a new TraDE DDG resource,1,72,72,72,"0,00","0,000%","13,88889","14,65","4,18","1080,0"
Deploy TraDE DDG model,1,411,411,411,"0,00","0,000%","2,43309","0,23","15,77","96,0"
Create ODE container,3,68,57,76,"8,18","0,000%","5,18135","1,44","3,87","285,0"
Start ODE container,3,173,168,177,"4,03","0,000%","4,32900","0,62","1,30","146,0"
Resolve ODE page,3,3330,78,8229,"3525,39","0,000%",",29827","2,66","0,07","9143,0"
Deploy P1 process model,1,1366,1366,1366,"0,00","0,000%",",73206","0,50","8,96","704,0"
Deploy P2 process model,1,1382,1382,1382,"0,00","0,000%",",72359","0,50","9,08","704,0"
Deploy P3 process model,1,1343,1343,1343,"0,00","0,000%",",74460","0,51","7,72","704,0"
Send request to P1: Warmup,50,2383,1393,5760,"1095,48","0,000%","2,02930","9,41","5,54","4748,8"
Send request to P1: Burst1,50,1965,1191,2998,"356,00","0,000%","2,43843","11,31","6,66","4748,8"
Send request to P1: Burst2,100,2402,1379,3423,"399,92","0,000%","1,99916","9,27","5,46","4748,9"
Send request to P1: Burst3,200,3250,1810,5398,"709,05","0,000%","1,52245","7,06","4,16","4749,5"
Send request to P1: Burst4,400,5268,2797,7293,"910,15","0,000%",",94466","4,38","2,58","4749,7"
Send request to P1: Burst5,795,8498,4588,15252,"1702,34","0,000%",",53933","2,50","1,47","4749,9"
Stop ODE container,3,235,232,238,"2,45","0,000%","3,49650","0,50","0,85","146,0"
Delete ODE container,3,71,62,77,"6,65","0,000%","4,37956","0,62","1,06","146,0"
Stop TraDE container,1,355,355,355,"0,00","0,000%","2,81690","0,40","0,69","146,0"
Delete TraDE container,1,1876,1876,1876,"0,00","0,000%",",53305","0,08","0,13","146,0"
Gesamt,1620,6167,57,15252,"2830,34","0,000%",",75295","3,45","2,05","4697,3"
