Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,200,200,200,"0,00","0,000%","5,00000","1,39","3,24","285,0"
Start TraDE container,1,188,188,188,"0,00","0,000%","5,31915","0,76","1,59","146,0"
Resolve TraDE API endpoint,1,181,181,181,"0,00","0,000%","5,52486","1,72","1,32","319,0"
Create a new TraDE DDG resource,1,81,81,81,"0,00","0,000%","12,34568","13,02","3,71","1080,0"
Deploy TraDE DDG model,1,391,391,391,"0,00","0,000%","2,55754","0,24","16,57","96,0"
Create ODE container,3,69,60,79,"7,79","0,000%","5,08475","1,42","3,79","285,0"
Start ODE container,3,179,174,187,"5,72","0,000%","4,22535","0,60","1,27","146,0"
Resolve ODE page,3,3244,75,7857,"3336,75","0,000%",",30725","2,74","0,07","9143,0"
Deploy P1 process model,1,1364,1364,1364,"0,00","0,000%",",73314","0,50","8,97","704,0"
Deploy P2 process model,1,1349,1349,1349,"0,00","0,000%",",74129","0,51","9,30","704,0"
Deploy P3 process model,1,1311,1311,1311,"0,00","0,000%",",76278","0,52","7,91","704,0"
Send request to P1: Warmup,50,2346,1503,5710,"1078,14","0,000%","2,06109","9,56","5,63","4748,8"
Send request to P1: Burst1,50,2516,1359,4607,"834,73","0,000%","1,93125","8,96","5,28","4748,8"
Send request to P1: Burst2,100,2406,1122,3035,"361,58","0,000%","2,03587","9,44","5,56","4748,9"
Send request to P1: Burst3,200,3132,1798,4854,"660,45","0,000%","1,57904","7,32","4,32","4749,5"
Send request to P1: Burst4,400,5133,2855,7109,"987,68","0,000%",",97053","4,50","2,65","4749,7"
Send request to P1: Burst5,800,8469,4471,14104,"1834,47","0,000%",",58910","2,73","1,61","4749,9"
Stop ODE container,3,548,209,1219,"474,01","0,000%","1,60944","0,23","0,39","146,0"
Delete ODE container,3,91,56,150,"41,96","0,000%","1,75336","0,25","0,42","146,0"
Stop TraDE container,1,319,319,319,"0,00","0,000%","3,13480","0,45","0,77","146,0"
Delete TraDE container,1,1883,1883,1883,"0,00","0,000%",",53107","0,08","0,13","146,0"
Gesamt,1625,6128,56,14104,"2869,38","0,000%",",80277","3,68","2,18","4697,5"
