Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,211,211,211,"0,00","0,000%","4,73934","1,32","3,07","285,0"
Start TraDE container,1,164,164,164,"0,00","0,000%","6,09756","0,87","1,83","146,0"
Resolve TraDE API endpoint,1,177,177,177,"0,00","0,000%","5,64972","1,76","1,35","319,0"
Create a new TraDE DDG resource,1,76,76,76,"0,00","0,000%","13,15789","13,88","3,96","1080,0"
Deploy TraDE DDG model,1,379,379,379,"0,00","0,000%","2,63852","0,25","17,10","96,0"
Create ODE container,3,70,54,87,"13,49","0,000%","5,48446","1,53","4,09","285,0"
Start ODE container,3,158,152,168,"6,80","0,000%","4,63679","0,66","1,39","146,0"
Resolve ODE page,3,3406,85,9926,"4610,37","0,000%",",29291","2,62","0,07","9143,0"
Deploy P1 process model,1,1352,1352,1352,"0,00","0,000%",",73964","0,51","9,05","704,0"
Deploy P2 process model,1,1400,1400,1400,"0,00","0,000%",",71429","0,49","8,96","704,0"
Deploy P3 process model,1,1330,1330,1330,"0,00","0,000%",",75188","0,52","7,80","704,0"
Send request to P1: Warmup,50,2343,1401,5499,"986,44","0,000%","2,05558","9,53","5,62","4748,8"
Send request to P1: Burst1,50,2076,1373,3212,"442,98","0,000%","2,33459","10,83","6,38","4748,8"
Send request to P1: Burst2,100,2557,1412,4079,"553,60","0,000%","1,89861","8,81","5,19","4748,9"
Send request to P1: Burst3,199,3169,1780,22755,"2790,59","0,000%",",93252","4,33","2,55","4749,5"
Send request to P1: Burst4,400,5220,2703,7511,"768,62","0,000%",",95420","4,43","2,61","4749,7"
Send request to P1: Burst5,800,8583,4117,14683,"1941,01","0,000%",",58129","2,70","1,59","4749,9"
Stop ODE container,3,567,225,1232,"469,83","0,000%","1,61638","0,23","0,39","146,0"
Delete ODE container,3,71,63,78,"6,34","0,000%","1,77096","0,25","0,43","146,0"
Stop TraDE container,1,393,393,393,"0,00","0,000%","2,54453","0,36","0,62","146,0"
Delete TraDE container,1,1896,1896,1896,"0,00","0,000%",",52743","0,08","0,13","146,0"
Gesamt,1624,6208,54,22755,"3078,05","0,000%",",76031","3,49","2,07","4697,4"
