Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,204,204,204,"0,00","0,000%","4,90196","1,36","3,17","285,0"
Start TraDE container,1,177,177,177,"0,00","0,000%","5,64972","0,81","1,69","146,0"
Resolve TraDE API endpoint,1,167,167,167,"0,00","0,000%","5,98802","1,87","1,43","319,0"
Create a new TraDE DDG resource,1,72,72,72,"0,00","0,000%","13,88889","14,65","4,18","1080,0"
Deploy TraDE DDG model,1,360,360,360,"0,00","0,000%","2,77778","0,26","18,00","96,0"
Create ODE container,3,71,62,87,"11,15","0,000%","5,00835","1,39","3,74","285,0"
Start ODE container,3,180,177,182,"2,16","0,000%","4,21941","0,60","1,26","146,0"
Resolve ODE page,3,3445,80,8366,"3557,03","0,000%",",28932","2,58","0,07","9143,0"
Deploy P1 process model,1,1388,1388,1388,"0,00","0,000%",",72046","0,50","8,82","704,0"
Deploy P2 process model,1,1357,1357,1357,"0,00","0,000%",",73692","0,51","9,24","704,0"
Deploy P3 process model,1,1291,1291,1291,"0,00","0,000%",",77459","0,53","8,04","704,0"
Send request to P1: Warmup,50,2155,1362,5812,"1184,13","0,000%","2,23294","10,36","6,10","4748,8"
Send request to P1: Burst1,49,3205,582,21703,"5401,21","0,000%",",37864","1,76","1,03","4748,8"
Send request to P1: Burst2,100,2497,998,3405,"433,87","0,000%","1,95122","9,05","5,33","4748,9"
Send request to P1: Burst3,200,3261,1555,4900,"691,73","0,000%","1,52080","7,05","4,16","4749,5"
Send request to P1: Burst4,400,5174,2790,7613,"1004,11","0,000%",",96250","4,46","2,63","4749,7"
Send request to P1: Burst5,800,8528,4747,14310,"1855,40","0,000%",",58514","2,71","1,60","4749,9"
Stop ODE container,3,549,206,1205,"463,80","0,000%","1,67038","0,24","0,41","146,0"
Delete ODE container,3,67,56,78,"8,99","0,000%","1,85759","0,26","0,45","146,0"
Stop TraDE container,1,385,385,385,"0,00","0,000%","2,59740","0,37","0,63","146,0"
Delete TraDE container,1,2005,2005,2005,"0,00","0,000%",",49875","0,07","0,12","146,0"
Gesamt,1624,6206,56,21703,"3006,46","0,000%",",75669","3,47","2,06","4697,4"
