Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,208,208,208,"0,00","0,000%","4,80769","1,34","3,11","285,0"
Start TraDE container,1,161,161,161,"0,00","0,000%","6,21118","0,89","1,86","146,0"
Resolve TraDE API endpoint,1,162,162,162,"0,00","0,000%","6,17284","1,92","1,47","319,0"
Create a new TraDE DDG resource,1,78,78,78,"0,00","0,000%","12,82051","13,52","3,86","1080,0"
Deploy TraDE DDG model,1,347,347,347,"0,00","0,000%","2,88184","0,27","18,68","96,0"
Create ODE container,3,69,57,81,"9,84","0,000%","5,02513","1,40","3,75","285,0"
Start ODE container,3,177,163,191,"11,44","0,000%","4,27960","0,61","1,28","146,0"
Resolve ODE page,3,2887,85,7982,"3608,27","0,000%",",34495","3,08","0,08","9143,0"
Deploy P1 process model,1,1381,1381,1381,"0,00","0,000%",",72411","0,50","8,86","704,0"
Deploy P2 process model,1,1373,1373,1373,"0,00","0,000%",",72833","0,50","9,13","704,0"
Deploy P3 process model,1,1305,1305,1305,"0,00","0,000%",",76628","0,53","7,95","704,0"
Send request to P1: Warmup,50,2366,1174,5863,"1121,08","0,000%","2,03982","9,46","5,57","4748,8"
Send request to P1: Burst1,50,1872,1296,2394,"251,46","0,000%","2,57852","11,96","7,05","4748,8"
Send request to P1: Burst2,100,2502,1670,3377,"350,76","0,000%","1,95461","9,06","5,34","4748,9"
Send request to P1: Burst3,200,3346,1699,4775,"666,10","0,000%","1,48095","6,87","4,05","4749,5"
Send request to P1: Burst4,400,5382,1860,7716,"1127,19","0,000%",",92528","4,29","2,53","4749,7"
Send request to P1: Burst5,790,8579,4404,22625,"2137,31","0,000%",",49431","2,29","1,35","4749,9"
Stop ODE container,3,560,214,1232,"475,25","0,000%","1,64204","0,23","0,40","146,0"
Delete ODE container,3,69,62,76,"5,79","0,000%","1,79104","0,26","0,43","146,0"
Stop TraDE container,1,619,619,619,"0,00","0,000%","1,61551","0,23","0,39","146,0"
Delete TraDE container,1,1891,1891,1891,"0,00","0,000%",",52882","0,08","0,13","146,0"
Gesamt,1615,6242,57,22625,"2995,50","0,000%",",70587","3,24","1,92","4697,1"
