Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,175,175,175,"0,00","0,000%","5,71429","1,59","3,70","285,0"
Start TraDE container,1,193,193,193,"0,00","0,000%","5,18135","0,74","1,55","146,0"
Resolve TraDE API endpoint,1,174,174,174,"0,00","0,000%","5,74713","1,79","1,37","319,0"
Create a new TraDE DDG resource,1,73,73,73,"0,00","0,000%","13,69863","14,45","4,12","1080,0"
Deploy TraDE DDG model,1,392,392,392,"0,00","0,000%","2,55102","0,24","16,53","96,0"
Create ODE container,3,66,63,70,"2,94","0,000%","5,62852","1,57","4,20","285,0"
Start ODE container,3,165,160,175,"6,85","0,000%","4,68019","0,67","1,40","146,0"
Resolve ODE page,3,3517,80,10328,"4815,71","0,000%",",28363","2,53","0,07","9143,0"
Deploy P1 process model,1,1363,1363,1363,"0,00","0,000%",",73368","0,50","8,98","704,0"
Deploy P2 process model,1,1350,1350,1350,"0,00","0,000%",",74074","0,51","9,29","704,0"
Deploy P3 process model,1,1278,1278,1278,"0,00","0,000%",",78247","0,54","8,12","704,0"
Send request to P1: Warmup,50,2415,895,5971,"1140,60","0,000%","2,00642","9,30","5,48","4748,8"
Send request to P1: Burst1,50,2031,1189,2826,"346,95","0,000%","2,34698","10,88","6,41","4748,8"
Send request to P1: Burst2,99,2694,1206,22052,"3896,67","0,000%",",64259","2,98","1,76","4748,9"
Send request to P1: Burst3,199,2957,1838,22243,"2703,46","0,000%",",98898","4,59","2,70","4749,5"
Send request to P1: Burst4,400,5083,2723,7717,"952,10","0,000%",",97983","4,54","2,68","4749,7"
Send request to P1: Burst5,800,8393,4210,12864,"1518,40","0,000%",",59456","2,76","1,63","4749,9"
Stop ODE container,3,594,206,1239,"459,21","0,000%","1,55682","0,22","0,38","146,0"
Delete ODE container,3,67,57,75,"7,48","0,000%","1,82260","0,26","0,44","146,0"
Stop TraDE container,1,339,339,339,"0,00","0,000%","2,94985","0,42","0,72","146,0"
Delete TraDE container,1,1911,1911,1911,"0,00","0,000%",",52329","0,07","0,13","146,0"
Gesamt,1623,6066,57,22243,"3067,81","0,000%",",74306","3,41","2,02","4697,4"
