Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,94,68,139,"31,95","0,000%","4,75436","1,32","3,31","285,0"
Start ODE container,3,160,154,171,"7,79","0,000%","4,68019","0,67","1,40","146,0"
Resolve ODE page,4,2529,3,8415,"3440,67","25,000%",",32404","2,33","0,06","7374,0"
Deploy P1 process model,1,1310,1310,1310,"0,00","0,000%",",76336","0,53","10,39","705,0"
Deploy P2 process model,1,1311,1311,1311,"0,00","0,000%",",76278","0,53","10,77","705,0"
Deploy P3 process model,1,1234,1234,1234,"0,00","0,000%",",81037","0,56","8,83","705,0"
Send request to P1: Warmup,50,1943,1297,4410,"759,56","0,000%","2,46208","11,42","6,73","4748,8"
Send request to P1: Burst1,50,1462,894,1701,"129,59","0,000%","3,22643","14,96","8,82","4748,8"
Send request to P1: Burst2,100,1237,693,1657,"187,00","0,000%","3,89075","18,04","10,63","4748,9"
Send request to P1: Burst3,200,1458,698,1769,"154,50","0,000%","3,37353","15,65","9,22","4749,5"
Send request to P1: Burst4,400,1468,495,2603,"134,94","0,000%","3,37784","15,67","9,23","4749,7"
Send request to P1: Burst5,800,1403,664,2405,"208,66","0,000%","3,54451","16,44","9,69","4749,9"
Stop ODE container,3,904,257,1232,"457,75","0,000%","1,03448","0,15","0,25","146,0"
Delete ODE container,3,80,55,98,"18,24","0,000%","1,11193","0,16","0,27","146,0"
TOTAL,1619,1429,3,8415,"321,83","0,062%","3,32405","15,30","9,07","4714,8"
