Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,102,73,148,"32,89","0,000%","4,49102","1,25","3,12","285,0"
Start ODE container,3,170,167,173,"2,49","0,000%","4,40529","0,63","1,32","146,0"
Resolve ODE page,4,2550,2,8684,"3586,69","25,000%",",32219","2,32","0,06","7374,0"
Deploy P1 process model,1,1306,1306,1306,"0,00","0,000%",",76570","0,53","10,42","705,0"
Deploy P2 process model,1,1346,1346,1346,"0,00","0,000%",",74294","0,51","10,49","705,0"
Deploy P3 process model,1,1233,1233,1233,"0,00","0,000%",",81103","0,56","8,84","705,0"
Send request to P1: Warmup,50,1674,793,5137,"1090,01","0,000%","2,87505","13,33","7,86","4748,8"
Send request to P1: Burst1,50,1254,871,1525,"143,72","0,000%","3,71030","17,21","10,14","4748,8"
Send request to P1: Burst2,100,1426,614,1651,"189,73","0,000%","3,38478","15,70","9,25","4748,9"
Send request to P1: Burst3,200,1457,779,1697,"116,77","0,000%","3,38146","15,68","9,24","4749,5"
Send request to P1: Burst4,400,1455,685,1761,"133,69","0,000%","3,40515","15,79","9,31","4749,7"
Send request to P1: Burst5,800,1456,678,2595,"139,50","0,000%","3,41857","15,86","9,34","4749,9"
Stop ODE container,3,884,214,1237,"474,44","0,000%","1,05116","0,15","0,26","146,0"
Delete ODE container,3,84,56,101,"20,34","0,000%","1,11317","0,16","0,27","146,0"
TOTAL,1619,1448,2,8684,"322,11","0,062%","3,28224","15,11","8,95","4714,8"
