Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,91,60,141,"35,35","0,000%","4,80000","1,34","3,34","285,0"
Start ODE container,3,164,155,170,"6,65","0,000%","4,69484","0,67","1,41","146,0"
Resolve ODE page,4,2431,3,9566,"4119,51","25,000%",",33664","2,42","0,06","7374,0"
Deploy P1 process model,1,1295,1295,1295,"0,00","0,000%",",77220","0,53","10,51","705,0"
Deploy P2 process model,1,1357,1357,1357,"0,00","0,000%",",73692","0,51","10,40","705,0"
Deploy P3 process model,1,1246,1246,1246,"0,00","0,000%",",80257","0,55","8,75","705,0"
Send request to P1: Warmup,50,1729,1073,4410,"833,60","0,000%","2,74846","12,75","7,51","4748,8"
Send request to P1: Burst1,50,1466,776,1699,"193,12","0,000%","3,20246","14,85","8,75","4748,8"
Send request to P1: Burst2,100,1455,788,1604,"142,77","0,000%","3,32226","15,41","9,08","4748,9"
Send request to P1: Burst3,200,1427,733,1814,"175,36","0,000%","3,44709","15,99","9,42","4749,5"
Send request to P1: Burst4,400,1465,613,1800,"127,54","0,000%","3,38075","15,68","9,24","4749,7"
Send request to P1: Burst5,800,1452,674,2005,"154,56","0,000%","3,42538","15,89","9,36","4749,9"
Stop ODE container,3,890,224,1232,"470,99","0,000%","1,04932","0,15","0,26","146,0"
Delete ODE container,3,82,61,100,"16,21","0,000%","1,11276","0,16","0,27","146,0"
TOTAL,1619,1455,3,9566,"318,27","0,062%","3,26766","15,05","8,91","4714,8"
