Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,99,76,142,"30,00","0,000%","4,18994","1,17","2,91","285,0"
Start ODE container,3,190,178,203,"10,23","0,000%","3,99467","0,57","1,20","146,0"
Resolve ODE page,3,3499,147,9814,"4468,20","0,000%",",28479","2,54","0,07","9143,0"
Deploy P1 process model,1,1313,1313,1313,"0,00","0,000%",",76161","0,52","10,36","705,0"
Deploy P2 process model,1,1335,1335,1335,"0,00","0,000%",",74906","0,52","10,57","705,0"
Deploy P3 process model,1,1234,1234,1234,"0,00","0,000%",",81037","0,56","8,83","705,0"
Send request to P1: Warmup,50,1969,1303,4476,"765,90","0,000%","2,43273","11,28","6,65","4748,8"
Send request to P1: Burst1,50,1208,891,1503,"179,29","0,000%","3,85683","17,89","10,54","4748,8"
Send request to P1: Burst2,100,1362,620,1707,"211,31","0,000%","3,53232","16,38","9,65","4748,9"
Send request to P1: Burst3,200,1465,608,1697,"149,89","0,000%","3,35982","15,58","9,18","4749,5"
Send request to P1: Burst4,400,1463,583,2596,"157,91","0,000%","3,37861","15,67","9,23","4749,7"
Send request to P1: Burst5,800,1463,618,2198,"136,77","0,000%","3,40172","15,78","9,30","4749,9"
Stop ODE container,3,1221,1214,1230,"6,60","0,000%",",77580","0,11","0,19","146,0"
Delete ODE container,3,86,58,107,"20,73","0,000%","1,10701","0,16","0,27","146,0"
TOTAL,1618,1460,58,9814,"324,75","0,000%","3,24568","14,95","8,86","4716,4"
