Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,84,55,130,"32,72","0,000%","4,99168","1,39","3,47","285,0"
Start ODE container,3,160,149,175,"10,98","0,000%","4,87805","0,70","1,46","146,0"
Resolve ODE page,4,2601,4,10125,"4344,25","25,000%",",31822","2,29","0,05","7374,0"
Deploy P1 process model,1,1303,1303,1303,"0,00","0,000%",",76746","0,53","10,44","705,0"
Deploy P2 process model,1,1329,1329,1329,"0,00","0,000%",",75245","0,52","10,62","705,0"
Deploy P3 process model,1,1265,1265,1265,"0,00","0,000%",",79051","0,54","8,61","705,0"
Send request to P1: Warmup,50,1856,998,4458,"804,83","0,000%","2,59713","12,04","7,10","4748,8"
Send request to P1: Burst1,50,1432,888,1709,"163,97","0,000%","3,31565","15,38","9,06","4748,8"
Send request to P1: Burst2,100,1457,708,1629,"148,70","0,000%","3,32038","15,40","9,07","4748,9"
Send request to P1: Burst3,200,1468,495,2492,"177,42","0,000%","3,33411","15,46","9,11","4749,5"
Send request to P1: Burst4,400,1425,606,1752,"174,40","0,000%","3,47355","16,11","9,49","4749,7"
Send request to P1: Burst5,800,1477,690,3011,"161,82","0,000%","3,37385","15,65","9,22","4749,9"
Stop ODE container,3,887,217,1227,"474,24","0,000%","1,04969","0,15","0,26","146,0"
Delete ODE container,3,85,62,101,"16,67","0,000%","1,11029","0,16","0,27","146,0"
TOTAL,1619,1466,4,10125,"335,99","0,062%","3,24398","14,94","8,85","4714,8"
