Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,93,69,139,"32,31","0,000%","4,76190","1,33","3,31","285,0"
Start ODE container,3,158,148,171,"9,63","0,000%","4,70219","0,67","1,41","146,0"
Resolve ODE page,3,3469,79,10110,"4695,78","0,000%",",28708","2,56","0,07","9143,0"
Deploy P1 process model,1,1362,1362,1362,"0,00","0,000%",",73421","0,51","9,99","705,0"
Deploy P2 process model,1,1313,1313,1313,"0,00","0,000%",",76161","0,52","10,75","705,0"
Deploy P3 process model,1,1271,1271,1271,"0,00","0,000%",",78678","0,54","8,57","705,0"
Send request to P1: Warmup,50,1876,1311,4119,"730,93","0,000%","2,54829","11,82","6,96","4748,8"
Send request to P1: Burst1,49,2965,474,21438,"5498,42","0,000%",",37409","1,73","1,02","4748,8"
Send request to P1: Burst2,100,1172,487,1600,"185,14","0,000%","4,09769","19,00","11,20","4748,9"
Send request to P1: Burst3,200,1399,685,1706,"177,30","0,000%","3,51543","16,31","9,61","4749,5"
Send request to P1: Burst4,400,1403,366,1805,"192,18","0,000%","3,52687","16,36","9,64","4749,7"
Send request to P1: Burst5,800,1450,680,1923,"151,95","0,000%","3,43134","15,92","9,38","4749,9"
Stop ODE container,3,575,239,1235,"466,25","0,000%","1,56006","0,22","0,38","146,0"
Delete ODE container,3,83,58,103,"18,91","0,000%","1,72216","0,25","0,42","146,0"
TOTAL,1617,1468,58,21438,"1048,82","0,000%","2,69526","12,41","7,36","4716,4"
