Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,93,68,141,"33,73","0,000%","4,68750","1,30","3,26","285,0"
Start ODE container,3,170,156,179,"10,03","0,000%","4,45104","0,63","1,33","146,0"
Resolve ODE page,4,2412,2,9492,"4087,33","25,000%",",33847","2,44","0,06","7374,0"
Deploy P1 process model,1,1312,1312,1312,"0,00","0,000%",",76220","0,52","10,37","705,0"
Deploy P2 process model,1,1307,1307,1307,"0,00","0,000%",",76511","0,53","10,80","705,0"
Deploy P3 process model,1,1258,1258,1258,"0,00","0,000%",",79491","0,55","8,66","705,0"
Send request to P1: Warmup,50,1796,1092,4444,"830,93","0,000%","2,67080","12,39","7,30","4748,8"
Send request to P1: Burst1,50,1423,708,1623,"219,17","0,000%","3,28861","15,25","8,99","4748,8"
Send request to P1: Burst2,100,1452,407,2499,"203,13","0,000%","3,30644","15,33","9,03","4748,9"
Send request to P1: Burst3,200,1422,698,1712,"159,96","0,000%","3,45572","16,03","9,44","4749,5"
Send request to P1: Burst4,400,1385,504,2601,"209,29","0,000%","3,56745","16,55","9,75","4749,7"
Send request to P1: Burst5,800,1460,612,2206,"135,19","0,000%","3,40901","15,81","9,32","4749,9"
Stop ODE container,3,550,214,1212,"467,66","0,000%","1,62602","0,23","0,40","146,0"
Delete ODE container,3,81,53,101,"20,40","0,000%","1,79426","0,26","0,43","146,0"
TOTAL,1619,1438,2,9492,"329,56","0,062%","3,30771","15,23","9,02","4714,8"
