Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,93,62,148,"38,59","0,000%","4,51807","1,26","3,14","285,0"
Start ODE container,3,186,178,201,"10,61","0,000%","4,26743","0,61","1,28","146,0"
Resolve ODE page,4,2403,2,9449,"4068,14","25,000%",",33953","2,45","0,06","7374,0"
Deploy P1 process model,1,1293,1293,1293,"0,00","0,000%",",77340","0,53","10,52","705,0"
Deploy P2 process model,1,1325,1325,1325,"0,00","0,000%",",75472","0,52","10,65","705,0"
Deploy P3 process model,1,1244,1244,1244,"0,00","0,000%",",80386","0,55","8,76","705,0"
Send request to P1: Warmup,50,1846,1183,4452,"839,91","0,000%","2,59956","12,06","7,10","4748,8"
Send request to P1: Burst1,50,1433,694,1673,"170,29","0,000%","3,26691","15,15","8,93","4748,8"
Send request to P1: Burst2,100,1241,691,1718,"204,55","0,000%","3,87567","17,97","10,59","4748,9"
Send request to P1: Burst3,200,1487,693,1726,"126,89","0,000%","3,30978","15,35","9,05","4749,5"
Send request to P1: Burst4,400,1433,698,2609,"163,21","0,000%","3,46078","16,05","9,46","4749,7"
Send request to P1: Burst5,800,1440,694,1803,"144,27","0,000%","3,45368","16,02","9,44","4749,9"
Stop ODE container,3,549,204,1220,"474,30","0,000%","1,63043","0,23","0,40","146,0"
Delete ODE container,3,82,56,105,"20,12","0,000%","1,77305","0,25","0,43","146,0"
TOTAL,1619,1437,2,9449,"326,75","0,062%","3,31377","15,26","9,04","4714,8"
