Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,94,71,141,"33,00","0,000%","4,53858","1,26","3,16","285,0"
Start ODE container,3,165,157,170,"6,13","0,000%","4,55927","0,65","1,37","146,0"
Resolve ODE page,4,2467,3,9676,"4162,16","25,000%",",33292","2,40","0,06","7374,0"
Deploy P1 process model,1,1299,1299,1299,"0,00","0,000%",",76982","0,53","10,48","705,0"
Deploy P2 process model,1,1313,1313,1313,"0,00","0,000%",",76161","0,52","10,75","705,0"
Deploy P3 process model,1,1259,1259,1259,"0,00","0,000%",",79428","0,55","8,66","705,0"
Send request to P1: Warmup,50,1862,1034,4500,"832,16","0,000%","2,57679","11,95","7,04","4748,8"
Send request to P1: Burst1,50,1427,879,1610,"143,58","0,000%","3,31763","15,39","9,06","4748,8"
Send request to P1: Burst2,100,1392,618,1802,"181,63","0,000%","3,48020","16,14","9,51","4748,9"
Send request to P1: Burst3,200,1367,765,1755,"213,09","0,000%","3,59066","16,65","9,81","4749,5"
Send request to P1: Burst4,400,1472,680,1808,"121,34","0,000%","3,37058","15,63","9,21","4749,7"
Send request to P1: Burst5,800,1457,677,2405,"138,89","0,000%","3,41358","15,83","9,33","4749,9"
Stop ODE container,3,197,194,203,"4,24","0,000%","3,84123","0,55","0,94","146,0"
Delete ODE container,3,81,54,99,"19,44","0,000%","4,68019","0,67","1,13","146,0"
TOTAL,1619,1450,3,9676,"327,96","0,062%","3,29279","15,16","8,98","4714,8"
