Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,101,71,155,"38,26","0,000%","4,34783","1,21","3,02","285,0"
Start ODE container,3,178,176,180,"1,70","0,000%","4,26743","0,61","1,28","146,0"
Resolve ODE page,4,2454,3,9654,"4157,04","25,000%",",33392","2,40","0,06","7374,0"
Deploy P1 process model,1,1316,1316,1316,"0,00","0,000%",",75988","0,52","10,34","705,0"
Deploy P2 process model,1,1332,1332,1332,"0,00","0,000%",",75075","0,52","10,60","705,0"
Deploy P3 process model,1,1238,1238,1238,"0,00","0,000%",",80775","0,56","8,80","705,0"
Send request to P1: Warmup,50,1799,1087,3938,"747,58","0,000%","2,65266","12,30","7,25","4748,8"
Send request to P1: Burst1,50,1411,798,1603,"166,75","0,000%","3,33689","15,47","9,12","4748,8"
Send request to P1: Burst2,100,1476,797,1796,"156,10","0,000%","3,27912","15,21","8,96","4748,9"
Send request to P1: Burst3,200,1484,606,1826,"142,77","0,000%","3,31625","15,38","9,06","4749,5"
Send request to P1: Burst4,400,1483,784,1736,"97,69","0,000%","3,34672","15,52","9,15","4749,7"
Send request to P1: Burst5,800,1484,688,2001,"118,73","0,000%","3,35410","15,56","9,17","4749,9"
Stop ODE container,3,198,187,221,"15,80","0,000%","3,81194","0,54","0,93","146,0"
Delete ODE container,3,83,60,100,"16,87","0,000%","4,55235","0,65","1,10","146,0"
TOTAL,1619,1483,3,9654,"305,28","0,062%","3,22211","14,84","8,79","4714,8"
