Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,180,180,180,"0,00","0,000%","5,55556","1,55","3,60","285,0"
Start TraDE container,1,191,191,191,"0,00","0,000%","5,23560","0,75","1,57","146,0"
Resolve TraDE API endpoint,1,175,175,175,"0,00","0,000%","5,71429","1,78","1,36","319,0"
Create a new TraDE DDG resource,1,71,71,71,"0,00","0,000%","14,08451","14,85","4,24","1080,0"
Deploy TraDE DDG model,1,390,390,390,"0,00","0,000%","2,56410","0,24","16,62","96,0"
Create ODE container,3,63,59,69,"4,11","0,000%","5,43478","1,51","4,05","285,0"
Start ODE container,3,176,168,181,"5,91","0,000%","4,47094","0,64","1,34","146,0"
Resolve ODE page,3,3471,79,9620,"4355,72","0,000%",",28747","2,57","0,07","9143,0"
Deploy P1 process model,1,1356,1356,1356,"0,00","0,000%",",73746","0,51","9,02","704,0"
Deploy P2 process model,1,1369,1369,1369,"0,00","0,000%",",73046","0,50","9,16","704,0"
Deploy P3 process model,1,1318,1318,1318,"0,00","0,000%",",75873","0,52","7,87","704,0"
Send request to P1: Warmup,50,4113,2629,7702,"1059,83","0,000%","1,17922","590,93","295,67","513148,8"
Send request to P1: Burst1,50,4683,2890,7113,"994,53","0,000%","1,00689","504,57","252,46","513148,8"
Send request to P1: Burst2,100,5646,2486,7695,"1417,31","0,000%",",87609","439,03","219,66","513148,9"
Send request to P1: Burst3,200,5336,3197,7798,"897,75","0,000%",",92629","464,18","232,25","513149,5"
Send request to P1: Burst4,400,7075,3443,10717,"1100,77","0,000%",",70336","352,47","176,36","513149,7"
Send request to P1: Burst5,795,10739,5046,29083,"2706,57","0,000%",",43428","217,63","108,89","513149,9"
Stop ODE container,3,1512,218,2497,"955,71","0,000%",",53648","0,08","0,13","146,0"
Delete ODE container,3,487,409,610,"87,67","0,000%",",85641","0,12","0,21","146,0"
Stop TraDE container,1,713,713,713,"0,00","0,000%","1,40252","0,20","0,34","146,0"
Delete TraDE container,1,2100,2100,2100,"0,00","0,000%",",47619","0,07","0,11","146,0"
Gesamt,1620,8311,59,29083,"3288,59","0,000%",",56744","279,98","140,10","505251,6"
