Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,195,195,195,"0,00","0,000%","5,12821","1,43","3,32","285,0"
Start TraDE container,1,157,157,157,"0,00","0,000%","6,36943","0,91","1,91","146,0"
Resolve TraDE API endpoint,1,170,170,170,"0,00","0,000%","5,88235","1,83","1,40","319,0"
Create a new TraDE DDG resource,1,72,72,72,"0,00","0,000%","13,88889","14,65","4,18","1080,0"
Deploy TraDE DDG model,1,374,374,374,"0,00","0,000%","2,67380","0,25","17,33","96,0"
Create ODE container,3,68,59,75,"6,94","0,000%","5,59701","1,56","4,18","285,0"
Start ODE container,3,170,154,202,"22,63","0,000%","4,47761","0,64","1,34","146,0"
Resolve ODE page,3,3353,76,9902,"4630,37","0,000%",",29738","2,66","0,07","9143,0"
Deploy P1 process model,1,1359,1359,1359,"0,00","0,000%",",73584","0,51","9,00","704,0"
Deploy P2 process model,1,1414,1414,1414,"0,00","0,000%",",70721","0,49","8,87","704,0"
Deploy P3 process model,1,1293,1293,1293,"0,00","0,000%",",77340","0,53","8,02","704,0"
Send request to P1: Warmup,50,3999,2749,8120,"1109,06","0,000%","1,20998","606,35","303,38","513148,8"
Send request to P1: Burst1,50,3942,2869,5044,"486,23","0,000%","1,22279","612,77","306,60","513148,8"
Send request to P1: Burst2,99,4688,2278,22661,"3778,20","0,000%",",53922","270,21","135,20","513148,9"
Send request to P1: Burst3,198,4536,2403,26040,"3810,62","0,000%",",72320","362,41","181,33","513149,5"
Send request to P1: Burst4,400,7130,3453,11050,"1145,08","0,000%",",69891","350,24","175,24","513149,7"
Send request to P1: Burst5,795,11009,5198,28277,"2463,88","0,000%",",42411","212,53","106,34","513149,9"
Stop ODE container,3,1627,209,2998,"1139,12","0,000%",",50260","0,07","0,12","146,0"
Delete ODE container,3,495,402,629,"96,82","0,000%",",88915","0,13","0,21","146,0"
Stop TraDE container,1,848,848,848,"0,00","0,000%","1,17925","0,17","0,29","146,0"
Delete TraDE container,1,2064,2064,2064,"0,00","0,000%",",48450","0,07","0,12","146,0"
Gesamt,1617,8280,59,28277,"3811,69","0,000%",",53543","264,18","132,19","505237,0"
