Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,174,174,174,"0,00","0,000%","5,74713","1,60","3,72","285,0"
Start TraDE container,1,174,174,174,"0,00","0,000%","5,74713","0,82","1,72","146,0"
Resolve TraDE API endpoint,1,167,167,167,"0,00","0,000%","5,98802","1,87","1,43","319,0"
Create a new TraDE DDG resource,1,84,84,84,"0,00","0,000%","11,90476","12,56","3,58","1080,0"
Deploy TraDE DDG model,1,373,373,373,"0,00","0,000%","2,68097","0,25","17,37","96,0"
Create ODE container,3,61,55,73,"8,06","0,000%","5,66038","1,58","4,22","285,0"
Start ODE container,3,161,151,179,"12,36","0,000%","4,62963","0,66","1,39","146,0"
Resolve ODE page,3,3458,210,8178,"3415,25","0,000%",",28846","2,58","0,07","9143,0"
Deploy P1 process model,1,1382,1382,1382,"0,00","0,000%",",72359","0,50","8,85","704,0"
Deploy P2 process model,1,1395,1395,1395,"0,00","0,000%",",71685","0,49","8,99","704,0"
Deploy P3 process model,1,1315,1315,1315,"0,00","0,000%",",76046","0,52","7,89","704,0"
Send request to P1: Warmup,50,4121,2812,8008,"1062,26","0,000%","1,17925","590,95","295,68","513148,8"
Send request to P1: Burst1,50,4332,2887,6504,"856,92","0,000%","1,09839","550,43","275,40","513148,8"
Send request to P1: Burst2,99,4567,1982,24184,"3911,15","0,000%",",56624","283,75","141,97","513148,9"
Send request to P1: Burst3,200,5262,3529,8179,"846,50","0,000%",",94199","472,05","236,19","513149,5"
Send request to P1: Burst4,400,7218,3564,9969,"1118,14","0,000%",",69017","345,86","173,05","513149,7"
Send request to P1: Burst5,795,10665,4995,22220,"2364,30","0,000%",",43686","218,92","109,54","513149,9"
Stop ODE container,3,1423,214,2209,"867,64","0,000%",",56190","0,08","0,14","146,0"
Delete ODE container,3,489,399,624,"97,06","0,000%",",85034","0,12","0,21","146,0"
Stop TraDE container,1,696,696,696,"0,00","0,000%","1,43678","0,20","0,35","146,0"
Delete TraDE container,1,2100,2100,2100,"0,00","0,000%",",47619","0,07","0,11","146,0"
Gesamt,1619,8226,55,24184,"3324,35","0,000%",",55681","274,73","137,47","505246,7"
