Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,182,182,182,"0,00","0,000%","5,49451","1,53","3,56","285,0"
Start TraDE container,1,158,158,158,"0,00","0,000%","6,32911","0,90","1,90","146,0"
Resolve TraDE API endpoint,1,171,171,171,"0,00","0,000%","5,84795","1,82","1,39","319,0"
Create a new TraDE DDG resource,1,76,76,76,"0,00","0,000%","13,15789","13,88","3,96","1080,0"
Deploy TraDE DDG model,1,390,390,390,"0,00","0,000%","2,56410","0,24","16,62","96,0"
Create ODE container,3,68,57,76,"8,04","0,000%","5,04202","1,40","3,76","285,0"
Start ODE container,3,175,170,183,"5,56","0,000%","4,27960","0,61","1,28","146,0"
Resolve ODE page,3,3275,79,9664,"4517,71","0,000%",",30457","2,72","0,07","9143,0"
Deploy P1 process model,1,1350,1350,1350,"0,00","0,000%",",74074","0,51","9,06","704,0"
Deploy P2 process model,1,1397,1397,1397,"0,00","0,000%",",71582","0,49","8,98","704,0"
Deploy P3 process model,1,1304,1304,1304,"0,00","0,000%",",76687","0,53","7,96","704,0"
Send request to P1: Warmup,50,4227,2461,8278,"1074,44","0,000%","1,14647","574,52","287,46","513148,8"
Send request to P1: Burst1,50,4251,2085,6812,"882,17","0,000%","1,14033","571,44","285,92","513148,8"
Send request to P1: Burst2,100,4680,2625,6691,"965,69","0,000%","1,05016","526,26","263,31","513148,9"
Send request to P1: Burst3,200,5388,3356,8349,"839,27","0,000%",",92181","461,94","231,13","513149,5"
Send request to P1: Burst4,400,7041,3778,10070,"1056,26","0,000%",",70802","354,80","177,52","513149,7"
Send request to P1: Burst5,790,11212,5463,30891,"2950,77","0,000%",",39197","196,43","98,28","513149,9"
Stop ODE container,3,1690,1210,2409,"517,54","0,000%",",48607","0,07","0,12","146,0"
Delete ODE container,3,501,405,643,"102,31","0,000%",",71994","0,10","0,17","146,0"
Stop TraDE container,1,645,645,645,"0,00","0,000%","1,55039","0,22","0,38","146,0"
Delete TraDE container,1,2093,2093,2093,"0,00","0,000%",",47778","0,07","0,12","146,0"
Gesamt,1615,8463,57,30891,"3607,99","0,000%",",53591","264,41","132,31","505227,2"
