Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,205,205,205,"0,00","0,000%","4,87805","1,36","3,16","285,0"
Start TraDE container,1,178,178,178,"0,00","0,000%","5,61798","0,80","1,68","146,0"
Resolve TraDE API endpoint,1,169,169,169,"0,00","0,000%","5,91716","1,84","1,41","319,0"
Create a new TraDE DDG resource,1,78,78,78,"0,00","0,000%","12,82051","13,52","3,86","1080,0"
Deploy TraDE DDG model,1,423,423,423,"0,00","0,000%","2,36407","0,22","15,32","96,0"
Create ODE container,3,64,49,73,"10,87","0,000%","5,85938","1,63","4,37","285,0"
Start ODE container,3,154,152,159,"3,30","0,000%","4,87013","0,69","1,46","146,0"
Resolve ODE page,3,3380,82,9685,"4459,44","0,000%",",29472","2,63","0,07","9143,0"
Deploy P1 process model,1,1390,1390,1390,"0,00","0,000%",",71942","0,49","8,80","704,0"
Deploy P2 process model,1,1359,1359,1359,"0,00","0,000%",",73584","0,51","9,23","704,0"
Deploy P3 process model,1,1304,1304,1304,"0,00","0,000%",",76687","0,53","7,96","704,0"
Send request to P1: Warmup,50,4344,3187,7889,"1000,24","0,000%","1,11114","556,81","278,60","513148,8"
Send request to P1: Burst1,50,4128,2496,5877,"717,50","0,000%","1,17564","589,14","294,77","513148,8"
Send request to P1: Burst2,100,4786,2476,7312,"899,83","0,000%","1,02133","511,81","256,08","513148,9"
Send request to P1: Burst3,200,5255,2894,7890,"825,80","0,000%",",94304","472,58","236,45","513149,5"
Send request to P1: Burst4,400,7137,3653,10622,"1119,48","0,000%",",69846","350,01","175,13","513149,7"
Send request to P1: Burst5,795,10841,5075,26098,"2889,24","0,000%",",43028","215,62","107,89","513149,9"
Stop ODE container,3,2138,210,4252,"1655,37","0,000%",",40112","0,06","0,10","146,0"
Delete ODE container,3,486,396,614,"92,97","0,000%",",82804","0,12","0,20","146,0"
Stop TraDE container,1,1634,1634,1634,"0,00","0,000%",",61200","0,09","0,15","146,0"
Delete TraDE container,1,2069,2069,2069,"0,00","0,000%",",48333","0,07","0,12","146,0"
Gesamt,1620,8305,49,26098,"3446,31","0,000%",",56765","280,08","140,15","505251,6"
