Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,185,185,185,"0,00","0,000%","5,40541","1,50","3,50","285,0"
Start TraDE container,1,170,170,170,"0,00","0,000%","5,88235","0,84","1,76","146,0"
Resolve TraDE API endpoint,1,171,171,171,"0,00","0,000%","5,84795","1,82","1,39","319,0"
Create a new TraDE DDG resource,1,79,79,79,"0,00","0,000%","12,65823","13,35","3,81","1080,0"
Deploy TraDE DDG model,1,402,402,402,"0,00","0,000%","2,48756","0,23","16,12","96,0"
Create ODE container,3,65,57,74,"6,94","0,000%","5,11945","1,42","3,82","285,0"
Start ODE container,3,181,167,201,"14,27","0,000%","4,29799","0,61","1,29","146,0"
Resolve ODE page,3,3363,82,9818,"4564,35","0,000%",",29627","2,65","0,07","9143,0"
Deploy P1 process model,1,1358,1358,1358,"0,00","0,000%",",73638","0,51","9,01","704,0"
Deploy P2 process model,1,1413,1413,1413,"0,00","0,000%",",70771","0,49","8,88","704,0"
Deploy P3 process model,1,1307,1307,1307,"0,00","0,000%",",76511","0,53","7,94","704,0"
Send request to P1: Warmup,50,4266,2977,8224,"1052,31","0,000%","1,14085","571,70","286,05","513148,8"
Send request to P1: Burst1,49,5571,1060,25444,"5427,21","0,000%",",31992","160,32","80,21","513148,8"
Send request to P1: Burst2,100,4983,2495,7539,"1123,58","0,000%",",98659","494,40","247,37","513148,9"
Send request to P1: Burst3,200,5421,3687,8187,"876,45","0,000%",",91645","459,25","229,79","513149,5"
Send request to P1: Burst4,400,7291,3567,10181,"1316,06","0,000%",",68184","341,69","170,96","513149,7"
Send request to P1: Burst5,795,11198,5660,25700,"2299,58","0,000%",",41757","209,25","104,70","513149,9"
Stop ODE container,3,1715,275,2899,"1086,43","0,000%",",48201","0,07","0,12","146,0"
Delete ODE container,3,492,401,629,"98,29","0,000%",",80537","0,11","0,19","146,0"
Stop TraDE container,1,813,813,813,"0,00","0,000%","1,23001","0,18","0,30","146,0"
Delete TraDE container,1,2063,2063,2063,"0,00","0,000%",",48473","0,07","0,12","146,0"
Gesamt,1619,8593,57,25700,"3423,56","0,000%",",53239","262,68","131,44","505246,7"
