Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,180,180,180,"0,00","0,000%","5,55556","1,55","3,60","285,0"
Start TraDE container,1,159,159,159,"0,00","0,000%","6,28931","0,90","1,89","146,0"
Resolve TraDE API endpoint,1,171,171,171,"0,00","0,000%","5,84795","1,82","1,39","319,0"
Create a new TraDE DDG resource,1,75,75,75,"0,00","0,000%","13,33333","14,06","4,01","1080,0"
Deploy TraDE DDG model,1,411,411,411,"0,00","0,000%","2,43309","0,23","15,77","96,0"
Create ODE container,3,61,56,65,"3,74","0,000%","5,50459","1,53","4,11","285,0"
Start ODE container,3,171,160,177,"7,79","0,000%","4,55927","0,65","1,37","146,0"
Resolve ODE page,3,3310,82,8740,"3862,37","0,000%",",30124","2,69","0,07","9143,0"
Deploy P1 process model,1,1391,1391,1391,"0,00","0,000%",",71891","0,49","8,80","704,0"
Deploy P2 process model,1,1376,1376,1376,"0,00","0,000%",",72674","0,50","9,11","704,0"
Deploy P3 process model,1,1296,1296,1296,"0,00","0,000%",",77160","0,53","8,00","704,0"
Send request to P1: Warmup,50,4336,2898,8085,"1014,48","0,000%","1,09615","549,31","274,84","513148,8"
Send request to P1: Burst1,48,5236,1186,22682,"6442,21","0,000%",",33134","166,04","83,08","513148,8"
Send request to P1: Burst2,100,5351,2664,8008,"1203,62","0,000%",",91667","459,36","229,84","513148,9"
Send request to P1: Burst3,200,5323,3254,8008,"939,73","0,000%",",93105","466,57","233,45","513149,5"
Send request to P1: Burst4,400,7061,4356,10840,"1245,83","0,000%",",70568","353,63","176,94","513149,7"
Send request to P1: Burst5,790,11333,4628,24958,"2935,54","0,000%",",38809","194,48","97,31","513149,9"
Stop ODE container,3,1583,236,2628,"999,71","0,000%",",51538","0,07","0,13","146,0"
Delete ODE container,3,490,403,611,"88,13","0,000%",",83449","0,12","0,20","146,0"
Stop TraDE container,1,943,943,943,"0,00","0,000%","1,06045","0,15","0,26","146,0"
Delete TraDE container,1,2108,2108,2108,"0,00","0,000%",",47438","0,07","0,11","146,0"
Gesamt,1613,8599,56,24958,"3760,94","0,000%",",51203","252,62","126,41","505217,3"
