Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,179,179,179,"0,00","0,000%","5,58659","1,55","3,62","285,0"
Start TraDE container,1,169,169,169,"0,00","0,000%","5,91716","0,84","1,77","146,0"
Resolve TraDE API endpoint,1,170,170,170,"0,00","0,000%","5,88235","1,83","1,40","319,0"
Create a new TraDE DDG resource,1,73,73,73,"0,00","0,000%","13,69863","14,45","4,12","1080,0"
Deploy TraDE DDG model,1,409,409,409,"0,00","0,000%","2,44499","0,23","15,84","96,0"
Create ODE container,3,67,52,75,"10,84","0,000%","5,59701","1,56","4,18","285,0"
Start ODE container,3,158,152,167,"6,34","0,000%","4,67290","0,67","1,40","146,0"
Resolve ODE page,3,3265,81,9632,"4502,15","0,000%",",30547","2,73","0,07","9143,0"
Deploy P1 process model,1,1382,1382,1382,"0,00","0,000%",",72359","0,50","8,85","704,0"
Deploy P2 process model,1,1376,1376,1376,"0,00","0,000%",",72674","0,50","9,11","704,0"
Deploy P3 process model,1,1285,1285,1285,"0,00","0,000%",",77821","0,54","8,07","704,0"
Send request to P1: Warmup,50,4394,2993,7802,"998,25","0,000%","1,08864","545,54","272,96","513148,8"
Send request to P1: Burst1,50,4486,2757,6310,"682,50","0,000%","1,08103","541,73","271,05","513148,8"
Send request to P1: Burst2,99,4626,1269,24323,"4085,77","0,000%",",58481","293,06","146,63","513148,9"
Send request to P1: Burst3,199,4951,2354,25499,"3072,85","0,000%",",73862","370,14","185,20","513149,5"
Send request to P1: Burst4,400,7437,3537,10327,"1248,94","0,000%",",67039","335,95","168,09","513149,7"
Send request to P1: Burst5,785,11390,5319,29451,"3234,55","0,000%",",36485","182,84","91,48","513149,9"
Stop ODE container,3,3255,1895,5116,"1361,73","0,000%",",27732","0,04","0,07","146,0"
Delete ODE container,3,482,398,591,"80,65","0,000%",",49188","0,07","0,12","146,0"
Stop TraDE container,1,1628,1628,1628,"0,00","0,000%",",61425","0,09","0,15","146,0"
Delete TraDE container,1,2200,2200,2200,"0,00","0,000%",",45455","0,06","0,11","146,0"
Gesamt,1608,8603,52,29451,"4060,00","0,000%",",48461","239,08","119,63","505192,7"
