Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,202,202,202,"0,00","0,000%","4,95050","1,38","3,21","285,0"
Start TraDE container,1,199,199,199,"0,00","0,000%","5,02513","0,72","1,51","146,0"
Resolve TraDE API endpoint,1,185,185,185,"0,00","0,000%","5,40541","1,68","1,29","319,0"
Create a new TraDE DDG resource,1,79,79,79,"0,00","0,000%","12,65823","13,35","3,81","1080,0"
Deploy TraDE DDG model,1,406,406,406,"0,00","0,000%","2,46305","0,23","15,96","96,0"
Create ODE container,3,63,49,71,"9,93","0,000%","5,02513","1,40","3,75","285,0"
Start ODE container,3,191,185,196,"4,55","0,000%","4,13223","0,59","1,24","146,0"
Resolve ODE page,3,3372,75,9961,"4659,13","0,000%",",29589","2,64","0,07","9143,0"
Deploy P1 process model,1,1342,1342,1342,"0,00","0,000%",",74516","0,51","9,12","704,0"
Deploy P2 process model,1,1355,1355,1355,"0,00","0,000%",",73801","0,51","9,26","704,0"
Deploy P3 process model,1,1294,1294,1294,"0,00","0,000%",",77280","0,53","8,02","704,0"
Send request to P1: Warmup,50,4247,3405,7581,"970,66","0,000%","1,13353","568,04","284,21","513148,8"
Send request to P1: Burst1,49,5054,1234,23872,"5467,47","0,000%",",35040","175,59","87,86","513148,8"
Send request to P1: Burst2,99,4238,1438,23281,"3990,71","0,000%",",61807","309,73","154,97","513148,9"
Send request to P1: Burst3,200,5297,3392,8045,"869,40","0,000%",",93490","468,50","234,41","513149,5"
Send request to P1: Burst4,400,7182,3539,10322,"1160,24","0,000%",",69357","347,56","173,90","513149,7"
Send request to P1: Burst5,785,10743,5234,24423,"2858,69","0,000%",",38263","191,74","95,94","513149,9"
Stop ODE container,3,1917,1233,2681,"593,75","0,000%",",43472","0,06","0,11","146,0"
Delete ODE container,3,515,401,693,"127,34","0,000%",",64935","0,09","0,16","146,0"
Stop TraDE container,1,659,659,659,"0,00","0,000%","1,51745","0,22","0,37","146,0"
Delete TraDE container,1,2077,2077,2077,"0,00","0,000%",",48146","0,07","0,12","146,0"
Gesamt,1608,8253,49,24423,"3662,00","0,000%",",49925","246,31","123,25","505192,7"
