Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,100,67,162,"43,44","0,000%","4,37318","1,22","3,04","285,0"
Start ODE container,3,175,159,190,"12,71","0,000%","4,40529","0,63","1,32","146,0"
Resolve ODE page,3,3459,88,9514,"4290,29","0,000%",",28794","2,57","0,07","9143,0"
Deploy P1 process model,1,1299,1299,1299,"0,00","0,000%",",76982","0,53","10,48","705,0"
Deploy P2 process model,1,1371,1371,1371,"0,00","0,000%",",72939","0,50","10,29","705,0"
Deploy P3 process model,1,1276,1276,1276,"0,00","0,000%",",78370","0,54","8,54","705,0"
Send request to P1: Warmup,50,17185,10825,22762,"1857,93","0,000%",",28108","281,53","140,75","1025651,8"
Send request to P1: Burst1,49,15088,4337,33761,"6683,86","0,000%",",24721","247,60","123,78","1025651,8"
Send request to P1: Burst2,99,16360,4305,33840,"5367,81","0,000%",",26456","264,98","132,47","1025651,9"
Send request to P1: Burst3,199,16311,4318,33512,"3769,26","0,000%",",28440","284,86","142,41","1025652,5"
Send request to P1: Burst4,400,18041,7773,37550,"2812,44","0,000%",",27603","276,48","138,22","1025652,7"
Send request to P1: Burst5,559,18649,7614,52680,"4072,35","0,000%",",26700","267,43","133,69","1025652,8"
Stop ODE container,3,1546,1411,1752,"147,83","0,000%",",52743","0,08","0,13","146,0"
Delete ODE container,3,622,505,819,"139,74","0,000%",",63091","0,09","0,15","146,0"
Gesamt,1374,17560,67,52680,"4423,55","0,000%",",26193","258,92","129,45","1012239,2"
