Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,107,68,172,"45,90","0,000%","4,47094","1,24","3,11","285,0"
Start ODE container,3,151,138,162,"9,98","0,000%","4,76948","0,68","1,43","146,0"
Resolve ODE page,3,3332,102,8267,"3544,51","0,000%",",29886","2,67","0,07","9143,0"
Deploy P1 process model,1,1316,1316,1316,"0,00","0,000%",",75988","0,52","10,34","705,0"
Deploy P2 process model,1,1335,1335,1335,"0,00","0,000%",",74906","0,52","10,57","705,0"
Deploy P3 process model,1,1243,1243,1243,"0,00","0,000%",",80451","0,55","8,77","705,0"
Send request to P1: Warmup,50,17026,10436,21478,"1630,10","0,000%",",28500","285,46","142,71","1025651,8"
Send request to P1: Burst1,50,16900,7964,22402,"1828,87","0,000%",",28651","286,97","143,46","1025651,8"
Send request to P1: Burst2,99,16513,4327,36599,"5314,05","0,000%",",26279","263,21","131,59","1025651,9"
Send request to P1: Burst3,200,17666,7773,23970,"1720,89","0,000%",",28045","280,90","140,43","1025652,5"
Send request to P1: Burst4,400,18382,9599,47592,"3984,22","0,000%",",27100","271,43","135,70","1025652,7"
Send request to P1: Burst5,558,18493,8739,39384,"2340,57","0,000%",",26930","269,73","134,85","1025652,8"
Stop ODE container,3,4503,3989,5175,"496,69","0,000%",",20623","0,03","0,05","146,0"
Delete ODE container,3,622,483,834,"152,15","0,000%",",27194","0,04","0,07","146,0"
Gesamt,1375,17867,68,47592,"3668,34","0,000%",",22142","218,88","109,43","1012248,9"
