Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,104,66,160,"40,43","0,000%","4,19580","1,17","2,92","285,0"
Start ODE container,3,176,158,187,"12,83","0,000%","4,32277","0,62","1,30","146,0"
Resolve ODE page,3,3311,92,8514,"3713,46","0,000%",",30027","2,68","0,07","9143,0"
Deploy P1 process model,1,1318,1318,1318,"0,00","0,000%",",75873","0,52","10,33","705,0"
Deploy P2 process model,1,1364,1364,1364,"0,00","0,000%",",73314","0,50","10,35","705,0"
Deploy P3 process model,1,1241,1241,1241,"0,00","0,000%",",80580","0,55","8,78","705,0"
Send request to P1: Warmup,50,16761,10688,21543,"1855,21","0,000%",",28972","290,19","145,07","1025651,8"
Send request to P1: Burst1,50,17594,7379,21704,"2344,65","0,000%",",27571","276,16","138,06","1025651,8"
Send request to P1: Burst2,100,18112,10197,24597,"1827,69","0,000%",",27150","271,94","135,95","1025651,9"
Send request to P1: Burst3,200,17848,7909,21393,"1535,65","0,000%",",27784","278,29","139,12","1025652,5"
Send request to P1: Burst4,400,18548,8163,28795,"2215,01","0,000%",",26847","268,90","134,43","1025652,7"
Send request to P1: Burst5,557,19266,8140,41530,"3143,91","0,000%",",25835","258,76","129,36","1025652,8"
Stop ODE container,3,2138,1569,3086,"674,81","0,000%",",39888","0,06","0,10","146,0"
Delete ODE container,3,638,548,810,"121,67","0,000%",",44366","0,06","0,11","146,0"
Gesamt,1375,18380,66,41530,"3272,54","0,000%",",26256","259,55","129,76","1012248,9"
