Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,112,74,183,"50,03","0,000%","4,15512","1,16","2,89","285,0"
Start ODE container,3,168,157,176,"8,34","0,000%","4,36047","0,62","1,31","146,0"
Resolve ODE page,3,3360,292,8246,"3492,06","0,000%",",29644","2,65","0,07","9143,0"
Deploy P1 process model,1,1326,1326,1326,"0,00","0,000%",",75415","0,52","10,26","705,0"
Deploy P2 process model,1,1349,1349,1349,"0,00","0,000%",",74129","0,51","10,46","705,0"
Deploy P3 process model,1,1239,1239,1239,"0,00","0,000%",",80710","0,56","8,80","705,0"
Send request to P1: Warmup,50,16802,10466,22359,"1782,12","0,000%",",28769","288,15","144,05","1025651,8"
Send request to P1: Burst1,48,14984,4430,32671,"8051,42","0,000%",",20011","200,44","100,20","1025651,8"
Send request to P1: Burst2,99,16377,4290,33732,"5042,53","0,000%",",26090","261,32","130,64","1025651,9"
Send request to P1: Burst3,200,17638,7795,25485,"1913,08","0,000%",",28140","281,85","140,91","1025652,5"
Send request to P1: Burst4,400,18467,8114,38388,"3305,77","0,000%",",26972","270,16","135,06","1025652,7"
Send request to P1: Burst5,559,18690,7980,36305,"2900,93","0,000%",",26622","266,65","133,31","1025652,8"
Stop ODE container,3,2916,2786,3059,"111,79","0,000%",",30640","0,04","0,07","146,0"
Delete ODE container,3,615,494,805,"136,02","0,000%",",38412","0,05","0,09","146,0"
Gesamt,1374,17881,74,38388,"3978,08","0,000%",",24544","242,62","121,30","1012239,2"
