Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,111,68,168,"41,80","0,000%","4,21348","1,17","2,93","285,0"
Start ODE container,3,169,159,179,"8,18","0,000%","4,34783","0,62","1,30","146,0"
Resolve ODE page,3,2822,76,8252,"3839,21","0,000%",",35203","3,14","0,08","9143,0"
Deploy P1 process model,1,1316,1316,1316,"0,00","0,000%",",75988","0,52","10,34","705,0"
Deploy P2 process model,1,1351,1351,1351,"0,00","0,000%",",74019","0,51","10,45","705,0"
Deploy P3 process model,1,1247,1247,1247,"0,00","0,000%",",80192","0,55","8,74","705,0"
Send request to P1: Warmup,50,16648,10198,20867,"1708,12","0,000%",",29089","291,36","145,66","1025651,8"
Send request to P1: Burst1,50,16768,7431,20435,"2097,63","0,000%",",28904","289,51","144,73","1025651,8"
Send request to P1: Burst2,99,16698,4316,35539,"5389,83","0,000%",",26067","261,09","130,53","1025651,9"
Send request to P1: Burst3,200,16900,7141,25580,"2098,49","0,000%",",29345","293,93","146,94","1025652,5"
Send request to P1: Burst4,400,17483,8074,26819,"1981,67","0,000%",",28484","285,30","142,63","1025652,7"
Send request to P1: Burst5,558,18512,9383,47133,"3624,53","0,000%",",26880","269,24","134,60","1025652,8"
Stop ODE container,3,2677,2443,2978,"223,29","0,000%",",33054","0,05","0,08","146,0"
Delete ODE container,3,613,499,797,"131,16","0,000%",",40377","0,06","0,10","146,0"
Gesamt,1375,17491,68,47133,"3677,47","0,000%",",27307","269,94","134,96","1012248,9"
