Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,102,70,159,"40,41","0,000%","4,56621","1,27","3,17","285,0"
Start ODE container,3,167,147,182,"14,84","0,000%","4,55235","0,65","1,36","146,0"
Resolve ODE page,3,3503,79,10153,"4702,73","0,000%",",28460","2,54","0,07","9143,0"
Deploy P1 process model,1,1336,1336,1336,"0,00","0,000%",",74850","0,52","10,19","705,0"
Deploy P2 process model,1,1315,1315,1315,"0,00","0,000%",",76046","0,52","10,73","705,0"
Deploy P3 process model,1,1254,1254,1254,"0,00","0,000%",",79745","0,55","8,69","705,0"
Send request to P1: Warmup,50,17601,10742,22422,"1722,41","0,000%",",27458","275,02","137,49","1025651,8"
Send request to P1: Burst1,49,15488,4637,38528,"7359,35","0,000%",",24112","241,51","120,74","1025651,8"
Send request to P1: Burst2,100,18040,7622,24940,"2443,04","0,000%",",27180","272,24","136,10","1025651,9"
Send request to P1: Burst3,200,17792,7654,27323,"1979,56","0,000%",",27885","279,30","139,63","1025652,5"
Send request to P1: Burst4,400,18327,8179,30684,"2067,53","0,000%",",27181","272,25","136,10","1025652,7"
Send request to P1: Burst5,558,19373,7578,40060,"3067,87","0,000%",",25709","257,51","128,73","1025652,8"
Stop ODE container,3,2363,2243,2530,"121,66","0,000%",",36315","0,05","0,09","146,0"
Delete ODE container,3,667,546,833,"121,29","0,000%",",45711","0,07","0,11","146,0"
Gesamt,1375,18303,70,40060,"3569,81","0,000%",",26128","258,28","129,13","1012248,9"
