Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,104,63,182,"54,74","0,000%","4,58015","1,27","3,18","285,0"
Start ODE container,3,153,152,154,"0,94","0,000%","4,94234","0,70","1,48","146,0"
Resolve ODE page,3,3328,73,9834,"4599,97","0,000%",",29916","2,67","0,07","9143,0"
Deploy P1 process model,1,1296,1296,1296,"0,00","0,000%",",77160","0,53","10,50","705,0"
Deploy P2 process model,1,1335,1335,1335,"0,00","0,000%",",74906","0,52","10,57","705,0"
Deploy P3 process model,1,1267,1267,1267,"0,00","0,000%",",78927","0,54","8,60","705,0"
Send request to P1: Warmup,50,13652,9909,18735,"1249,44","0,000%",",35448","355,05","177,50","1025651,8"
Send request to P1: Burst1,50,17105,8669,21905,"2058,45","0,000%",",28344","283,90","141,93","1025651,8"
Send request to P1: Burst2,100,17204,7792,23622,"2220,07","0,000%",",28553","285,99","142,97","1025651,9"
Send request to P1: Burst3,200,17465,7164,21691,"1731,66","0,000%",",28401","284,47","142,21","1025652,5"
Send request to P1: Burst4,400,18099,8657,37002,"2760,20","0,000%",",27518","275,63","137,79","1025652,7"
Send request to P1: Burst5,557,18667,9025,41386,"3653,92","0,000%",",26671","267,14","133,55","1025652,8"
Stop ODE container,3,2482,1941,2855,"391,74","0,000%",",35461","0,05","0,09","146,0"
Delete ODE container,3,608,480,813,"146,27","0,000%",",45317","0,06","0,11","146,0"
Gesamt,1375,17754,63,41386,"3641,59","0,000%",",27155","268,44","134,21","1012248,9"
