Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,100,66,166,"46,45","0,000%","4,37318","1,22","3,04","285,0"
Start ODE container,3,174,171,178,"2,94","0,000%","4,48430","0,64","1,34","146,0"
Resolve ODE page,3,3298,91,9659,"4497,72","0,000%",",30148","2,69","0,07","9143,0"
Deploy P1 process model,1,1302,1302,1302,"0,00","0,000%",",76805","0,53","10,45","705,0"
Deploy P2 process model,1,1324,1324,1324,"0,00","0,000%",",75529","0,52","10,66","705,0"
Deploy P3 process model,1,1260,1260,1260,"0,00","0,000%",",79365","0,55","8,65","705,0"
Send request to P1: Warmup,50,15993,10814,22989,"2209,76","0,000%",",30176","302,25","151,10","1025651,8"
Send request to P1: Burst1,49,14716,4309,33736,"6707,21","0,000%",",24793","248,33","124,15","1025651,8"
Send request to P1: Burst2,100,17008,7766,21710,"1948,87","0,000%",",28859","289,05","144,51","1025651,9"
Send request to P1: Burst3,200,17717,7485,28049,"2225,09","0,000%",",27972","280,17","140,07","1025652,5"
Send request to P1: Burst4,400,18232,7718,36406,"2783,12","0,000%",",27309","273,53","136,74","1025652,7"
Send request to P1: Burst5,558,19462,8954,54648,"5067,34","0,000%",",25575","256,16","128,06","1025652,8"
Stop ODE container,3,2666,2464,2836,"153,61","0,000%",",33230","0,05","0,08","146,0"
Delete ODE container,3,608,513,798,"133,88","0,000%",",42099","0,06","0,10","146,0"
Gesamt,1375,18140,66,54648,"4540,76","0,000%",",25825","255,28","127,63","1012248,9"
