Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,99,69,154,"38,53","0,000%","4,54545","1,27","3,16","285,0"
Start ODE container,3,159,155,167,"5,44","0,000%","4,65116","0,66","1,39","146,0"
Resolve ODE page,3,3390,78,9578,"4379,20","0,000%",",29357","2,62","0,07","9143,0"
Deploy P1 process model,1,1305,1305,1305,"0,00","0,000%",",76628","0,53","10,43","705,0"
Deploy P2 process model,1,1353,1353,1353,"0,00","0,000%",",73910","0,51","10,43","705,0"
Deploy P3 process model,1,1239,1239,1239,"0,00","0,000%",",80710","0,56","8,80","705,0"
Send request to P1: Warmup,50,17628,10382,22198,"1726,43","0,000%",",27422","274,66","137,31","1025651,8"
Send request to P1: Burst1,50,16975,7979,21391,"2036,05","0,000%",",28506","285,52","142,74","1025651,8"
Send request to P1: Burst2,100,18076,8400,22907,"2121,25","0,000%",",27171","272,15","136,06","1025651,9"
Send request to P1: Burst3,199,17438,4792,34333,"3836,12","0,000%",",26704","267,47","133,71","1025652,5"
Send request to P1: Burst4,400,18239,7995,27957,"2116,41","0,000%",",27292","273,36","136,66","1025652,7"
Send request to P1: Burst5,558,19345,8106,38807,"2926,94","0,000%",",25739","257,80","128,88","1025652,8"
Stop ODE container,3,1748,1301,2235,"382,32","0,000%",",47672","0,07","0,12","146,0"
Delete ODE container,3,612,508,791,"126,73","0,000%",",51876","0,07","0,13","146,0"
Gesamt,1375,18269,69,38807,"3465,48","0,000%",",26177","258,77","129,37","1012248,9"
