Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,104,69,157,"38,11","0,000%","4,27350","1,19","2,97","285,0"
Start ODE container,3,182,182,184,"0,94","0,000%","4,14938","0,59","1,24","146,0"
Resolve ODE page,3,3424,75,8620,"3724,94","0,000%",",29081","2,60","0,07","9143,0"
Deploy P1 process model,1,1316,1316,1316,"0,00","0,000%",",75988","0,52","10,34","705,0"
Deploy P2 process model,1,1320,1320,1320,"0,00","0,000%",",75758","0,52","10,69","705,0"
Deploy P3 process model,1,1236,1236,1236,"0,00","0,000%",",80906","0,56","8,82","705,0"
Send request to P1: Warmup,50,9437,6052,13098,"1469,69","0,000%",",51593","258,54","129,36","513148,8"
Send request to P1: Burst1,49,9336,2360,30338,"6229,29","0,000%",",31657","158,64","79,37","513148,8"
Send request to P1: Burst2,100,10509,4153,12941,"1487,93","0,000%",",46706","234,05","117,11","513148,9"
Send request to P1: Burst3,200,10688,4049,16651,"1617,93","0,000%",",46274","231,89","116,03","513149,5"
Send request to P1: Burst4,400,10394,4168,15544,"1440,25","0,000%",",47924","240,16","120,16","513149,7"
Send request to P1: Burst5,800,10805,5135,18841,"1446,90","0,000%",",46153","231,28","115,72","513149,9"
Stop ODE container,3,2705,2474,3043,"244,16","0,000%",",31969","0,05","0,08","146,0"
Delete ODE container,3,679,494,772,"131,05","0,000%",",39698","0,06","0,10","146,0"
TOTAL,1617,10479,69,30338,"2084,93","0,000%",",46257","229,23","114,70","507457,0"
