Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,105,80,152,"33,26","0,000%","4,43787","1,24","3,09","285,0"
Start ODE container,3,167,165,172,"3,09","0,000%","4,36047","0,62","1,31","146,0"
Resolve ODE page,3,3359,79,9736,"4509,84","0,000%",",29659","2,65","0,07","9143,0"
Deploy P1 process model,1,1302,1302,1302,"0,00","0,000%",",76805","0,53","10,45","705,0"
Deploy P2 process model,1,1320,1320,1320,"0,00","0,000%",",75758","0,52","10,69","705,0"
Deploy P3 process model,1,1244,1244,1244,"0,00","0,000%",",80386","0,55","8,76","705,0"
Send request to P1: Warmup,50,9471,7773,12474,"1018,84","0,000%",",50746","254,30","127,24","513148,8"
Send request to P1: Burst1,50,9512,4129,11930,"1260,50","0,000%",",50393","252,53","126,35","513148,8"
Send request to P1: Burst2,98,9654,2246,29588,"5379,98","0,000%",",32458","162,65","81,38","513148,9"
Send request to P1: Burst3,200,10276,3838,12373,"1147,13","0,000%",",48238","241,73","120,95","513149,5"
Send request to P1: Burst4,400,9872,3812,11897,"1122,63","0,000%",",50336","252,25","126,21","513149,7"
Send request to P1: Burst5,800,10278,4266,14125,"1477,89","0,000%",",48494","243,01","121,59","513149,9"
Stop ODE container,3,2508,2318,2611,"134,51","0,000%",",33535","0,05","0,08","146,0"
Delete ODE container,3,728,441,979,"221,22","0,000%",",42254","0,06","0,10","146,0"
TOTAL,1616,9991,79,29588,"2086,48","0,000%",",47704","236,40","118,29","507453,5"
