Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,108,71,156,"35,46","0,000%","4,41176","1,23","3,07","285,0"
Start ODE container,3,174,162,200,"17,91","0,000%","4,26136","0,61","1,28","146,0"
Resolve ODE page,3,2867,80,8220,"3785,99","0,000%",",34682","3,10","0,08","9143,0"
Deploy P1 process model,1,1304,1304,1304,"0,00","0,000%",",76687","0,53","10,44","705,0"
Deploy P2 process model,1,1329,1329,1329,"0,00","0,000%",",75245","0,52","10,62","705,0"
Deploy P3 process model,1,1234,1234,1234,"0,00","0,000%",",81037","0,56","8,83","705,0"
Send request to P1: Warmup,50,9625,7507,12706,"1079,39","0,000%",",50249","251,81","125,99","513148,8"
Send request to P1: Burst1,50,9707,3756,12003,"1632,81","0,000%",",50011","250,62","125,39","513148,8"
Send request to P1: Burst2,99,9428,2201,28647,"4684,05","0,000%",",42332","212,14","106,14","513148,9"
Send request to P1: Burst3,200,10354,3911,14670,"1236,46","0,000%",",47464","237,85","119,01","513149,5"
Send request to P1: Burst4,400,10273,4242,13749,"1393,16","0,000%",",48465","242,87","121,52","513149,7"
Send request to P1: Burst5,800,10786,4023,29886,"2126,35","0,000%",",46251","231,77","115,97","513149,9"
Stop ODE container,3,3297,2576,4382,"780,93","0,000%",",27288","0,04","0,07","146,0"
Delete ODE container,3,625,370,775,"181,25","0,000%",",33956","0,05","0,08","146,0"
TOTAL,1617,10349,71,29886,"2341,57","0,000%",",47016","232,99","116,59","507457,0"
