Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,94,65,151,"40,08","0,000%","4,36681","1,22","3,04","285,0"
Start ODE container,3,189,181,194,"5,91","0,000%","4,21941","0,60","1,26","146,0"
Resolve ODE page,3,3191,84,7785,"3315,09","0,000%",",31208","2,79","0,07","9143,0"
Deploy P1 process model,1,1311,1311,1311,"0,00","0,000%",",76278","0,53","10,38","705,0"
Deploy P2 process model,1,1341,1341,1341,"0,00","0,000%",",74571","0,51","10,53","705,0"
Deploy P3 process model,1,1258,1258,1258,"0,00","0,000%",",79491","0,55","8,66","705,0"
Send request to P1: Warmup,50,9990,7523,13354,"1112,48","0,000%",",48145","241,27","120,72","513148,8"
Send request to P1: Burst1,48,10020,2475,27823,"7455,02","0,000%",",23657","118,55","59,32","513148,8"
Send request to P1: Burst2,99,8981,2209,30751,"4765,47","0,000%",",43575","218,37","109,26","513148,9"
Send request to P1: Burst3,200,10410,4349,12086,"1000,44","0,000%",",47596","238,52","119,34","513149,5"
Send request to P1: Burst4,400,10797,4874,12663,"870,18","0,000%",",46104","231,04","115,60","513149,7"
Send request to P1: Burst5,800,10281,3969,13542,"1207,24","0,000%",",48536","243,22","121,70","513149,9"
Stop ODE container,3,5483,4686,5937,"565,79","0,000%",",16937","0,02","0,04","146,0"
Delete ODE container,3,688,518,808,"123,83","0,000%",",23637","0,03","0,06","146,0"
TOTAL,1615,10234,65,30751,"2269,26","0,000%",",46046","228,19","114,18","507450,0"
