Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,102,68,150,"34,65","0,000%","4,44444","1,24","3,09","285,0"
Start ODE container,3,163,149,179,"12,33","0,000%","4,45765","0,64","1,34","146,0"
Resolve ODE page,3,3271,82,9649,"4509,46","0,000%",",30411","2,72","0,07","9143,0"
Deploy P1 process model,1,1319,1319,1319,"0,00","0,000%",",75815","0,52","10,32","705,0"
Deploy P2 process model,1,1327,1327,1327,"0,00","0,000%",",75358","0,52","10,64","705,0"
Deploy P3 process model,1,1247,1247,1247,"0,00","0,000%",",80192","0,55","8,74","705,0"
Send request to P1: Warmup,50,10291,7934,13203,"1220,19","0,000%",",46682","233,94","117,05","513148,8"
Send request to P1: Burst1,49,11660,2237,29419,"5270,36","0,000%",",23724","118,89","59,48","513148,8"
Send request to P1: Burst2,100,10184,4426,12406,"1327,32","0,000%",",48067","240,87","120,52","513148,9"
Send request to P1: Burst3,199,10411,2220,28319,"3386,58","0,000%",",43049","215,73","107,94","513149,5"
Send request to P1: Burst4,400,10336,4157,23379,"2130,30","0,000%",",48140","241,24","120,70","513149,7"
Send request to P1: Burst5,800,10864,4358,32069,"2511,93","0,000%",",45944","230,24","115,20","513149,9"
Stop ODE container,3,2294,2131,2381,"115,35","0,000%",",36346","0,05","0,09","146,0"
Delete ODE container,3,717,407,963,"231,55","0,000%",",45011","0,06","0,11","146,0"
TOTAL,1616,10536,68,32069,"2787,65","0,000%",",45088","223,44","111,80","507453,5"
