Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,100,76,147,"33,01","0,000%","4,53172","1,26","3,15","285,0"
Start ODE container,3,170,155,182,"11,32","0,000%","4,43787","0,63","1,33","146,0"
Resolve ODE page,3,3452,80,9643,"4383,52","0,000%",",28838","2,57","0,07","9143,0"
Deploy P1 process model,1,1315,1315,1315,"0,00","0,000%",",76046","0,52","10,35","705,0"
Deploy P2 process model,1,1354,1354,1354,"0,00","0,000%",",73855","0,51","10,42","705,0"
Deploy P3 process model,1,1261,1261,1261,"0,00","0,000%",",79302","0,55","8,64","705,0"
Send request to P1: Warmup,50,10504,6583,13403,"1676,16","0,000%",",45957","230,30","115,23","513148,8"
Send request to P1: Burst1,50,10208,5496,13212,"1210,79","0,000%",",47506","238,06","119,11","513148,8"
Send request to P1: Burst2,100,11019,4365,18151,"1956,17","0,000%",",44577","223,39","111,77","513148,9"
Send request to P1: Burst3,200,10310,4234,15173,"1574,46","0,000%",",48121","241,14","120,66","513149,5"
Send request to P1: Burst4,400,10712,3738,18683,"1543,62","0,000%",",46492","232,98","116,57","513149,7"
Send request to P1: Burst5,800,10461,4268,24397,"1722,75","0,000%",",47674","238,91","119,54","513149,9"
Stop ODE container,3,2597,2454,2705,"105,42","0,000%",",34274","0,05","0,08","146,0"
Delete ODE container,3,566,414,742,"134,86","0,000%",",42614","0,06","0,10","146,0"
TOTAL,1618,10431,76,24397,"1934,95","0,000%",",47290","234,35","117,27","507460,5"
