Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,106,79,148,"29,78","0,000%","4,31034","1,20","3,00","285,0"
Start ODE container,3,163,153,175,"9,03","0,000%","4,37318","0,62","1,31","146,0"
Resolve ODE page,3,3386,74,9906,"4610,07","0,000%",",29397","2,62","0,07","9143,0"
Deploy P1 process model,1,1365,1365,1365,"0,00","0,000%",",73260","0,50","9,97","705,0"
Deploy P2 process model,1,1345,1345,1345,"0,00","0,000%",",74349","0,51","10,49","705,0"
Deploy P3 process model,1,1243,1243,1243,"0,00","0,000%",",80451","0,55","8,77","705,0"
Send request to P1: Warmup,50,9911,7166,12807,"1336,45","0,000%",",48413","242,61","121,39","513148,8"
Send request to P1: Burst1,50,9391,4592,11392,"1257,29","0,000%",",51143","256,29","128,23","513148,8"
Send request to P1: Burst2,99,9586,2274,29467,"4600,79","0,000%",",40983","205,38","102,76","513148,9"
Send request to P1: Burst3,199,10384,2291,30036,"3432,95","0,000%",",43129","216,13","108,14","513149,5"
Send request to P1: Burst4,400,10854,3789,25504,"1935,81","0,000%",",45775","229,39","114,77","513149,7"
Send request to P1: Burst5,800,10715,4106,25956,"1958,47","0,000%",",46550","233,27","116,72","513149,9"
Stop ODE container,3,2289,2108,2501,"161,81","0,000%",",37406","0,05","0,09","146,0"
Delete ODE container,3,638,395,768,"172,19","0,000%",",45956","0,07","0,11","146,0"
TOTAL,1616,10469,74,30036,"2613,01","0,000%",",45847","227,20","113,69","507453,5"
