Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,95,63,151,"39,53","0,000%","4,48430","1,25","3,12","285,0"
Start ODE container,3,178,165,195,"12,47","0,000%","4,39239","0,63","1,32","146,0"
Resolve ODE page,3,3334,80,8406,"3633,88","0,000%",",29878","2,67","0,07","9143,0"
Deploy P1 process model,1,1329,1329,1329,"0,00","0,000%",",75245","0,52","10,24","705,0"
Deploy P2 process model,1,1321,1321,1321,"0,00","0,000%",",75700","0,52","10,68","705,0"
Deploy P3 process model,1,1251,1251,1251,"0,00","0,000%",",79936","0,55","8,71","705,0"
Send request to P1: Warmup,50,9952,7646,12356,"1043,02","0,000%",",48524","243,17","121,67","513148,8"
Send request to P1: Burst1,50,10046,4255,12079,"1517,70","0,000%",",47797","239,52","119,84","513148,8"
Send request to P1: Burst2,99,10866,2114,50273,"8003,41","0,000%",",38546","193,16","96,65","513148,9"
Send request to P1: Burst3,200,10717,4788,15737,"1613,13","0,000%",",46274","231,89","116,03","513149,5"
Send request to P1: Burst4,400,10087,4218,16864,"1831,25","0,000%",",49403","247,57","123,87","513149,7"
Send request to P1: Burst5,800,10422,3975,24013,"1995,29","0,000%",",47856","239,82","119,99","513149,9"
Stop ODE container,3,2958,2650,3246,"243,78","0,000%",",31017","0,04","0,08","146,0"
Delete ODE container,3,508,383,734,"159,69","0,000%",",41899","0,06","0,10","146,0"
TOTAL,1617,10276,63,50273,"2852,83","0,000%",",47453","235,16","117,67","507457,0"
