Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,92,62,153,"42,66","0,000%","4,83871","1,35","3,36","285,0"
Start ODE container,3,162,153,176,"10,03","0,000%","4,76190","0,68","1,43","146,0"
Resolve ODE page,3,3421,169,8378,"3561,41","0,000%",",29140","2,60","0,07","9143,0"
Deploy P1 process model,1,1318,1318,1318,"0,00","0,000%",",75873","0,52","10,33","705,0"
Deploy P2 process model,1,1355,1355,1355,"0,00","0,000%",",73801","0,51","10,42","705,0"
Deploy P3 process model,1,1251,1251,1251,"0,00","0,000%",",79936","0,55","8,71","705,0"
Send request to P1: Warmup,50,10549,8061,13361,"1088,56","0,000%",",45658","228,80","114,48","513148,8"
Send request to P1: Burst1,50,10222,4622,12625,"1505,68","0,000%",",47116","236,11","118,13","513148,8"
Send request to P1: Burst2,100,10534,4267,15265,"1539,62","0,000%",",46660","233,82","116,99","513148,9"
Send request to P1: Burst3,200,10672,4154,13571,"1284,67","0,000%",",46429","232,67","116,41","513149,5"
Send request to P1: Burst4,400,10881,4288,17087,"1378,91","0,000%",",45786","229,44","114,80","513149,7"
Send request to P1: Burst5,800,10887,4182,28333,"1779,63","0,000%",",45841","229,72","114,94","513149,9"
Stop ODE container,3,3020,2583,3832,"574,51","0,000%",",29172","0,04","0,07","146,0"
Delete ODE container,3,668,435,787,"165,23","0,000%",",41459","0,06","0,10","146,0"
TOTAL,1618,10701,62,28333,"1877,39","0,000%",",46098","228,45","114,31","507460,5"
