Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,155,155,155,"0,00","0,000%","6,45161","1,80","4,18","285,0"
Start TraDE container,1,157,157,157,"0,00","0,000%","6,36943","0,91","1,91","146,0"
Resolve TraDE API endpoint,1,179,179,179,"0,00","0,000%","5,58659","1,74","1,33","319,0"
Create a new TraDE DDG resource,1,89,89,89,"0,00","0,000%","11,23596","11,85","3,38","1080,0"
Deploy TraDE DDG model,1,420,420,420,"0,00","0,000%","2,38095","0,22","15,43","96,0"
Create ODE container,3,60,51,69,"7,35","0,000%","5,72519","1,59","4,27","285,0"
Start ODE container,3,167,155,184,"12,12","0,000%","4,62963","0,66","1,39","146,0"
Resolve ODE page,3,3510,80,10366,"4847,92","0,000%",",28412","2,54","0,07","9143,0"
Deploy P1 process model,1,1366,1366,1366,"0,00","0,000%",",73206","0,50","8,96","704,0"
Deploy P2 process model,1,1412,1412,1412,"0,00","0,000%",",70822","0,49","8,88","704,0"
Deploy P3 process model,1,1326,1326,1326,"0,00","0,000%",",75415","0,52","7,82","704,0"
Send request to P1: Warmup,50,7717,7208,10197,"574,67","0,000%",",63311","634,13","317,02","1025651,8"
Send request to P1: Burst1,49,7454,1791,26357,"5825,91","0,000%",",31918","319,70","159,82","1025651,8"
Send request to P1: Burst2,98,7043,1890,27575,"5512,39","0,000%",",38750","388,12","194,03","1025651,9"
Send request to P1: Burst3,200,8044,5481,10255,"788,53","0,000%",",61759","618,58","309,25","1025652,5"
Send request to P1: Burst4,400,9941,6719,12832,"1034,24","0,000%",",50119","502,00","250,96","1025652,7"
Send request to P1: Burst5,800,13849,7482,20907,"2368,25","0,000%",",36051","361,10","180,52","1025652,9"
Stop ODE container,3,2812,2640,2904,"121,72","0,000%",",30015","0,04","0,07","146,0"
Delete ODE container,3,730,551,1005,"197,06","0,000%",",37542","0,05","0,09","146,0"
Stop TraDE container,1,1132,1132,1132,"0,00","0,000%",",88339","0,13","0,22","146,0"
Delete TraDE container,1,2392,2392,2392,"0,00","0,000%",",41806","0,06","0,10","146,0"
Gesamt,1622,11181,51,27575,"3808,24","0,000%",",41962","413,83","206,89","1009865,1"
