Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,188,188,188,"0,00","0,000%","5,31915","1,48","3,44","285,0"
Start TraDE container,1,198,198,198,"0,00","0,000%","5,05051","0,72","1,51","146,0"
Resolve TraDE API endpoint,1,176,176,176,"0,00","0,000%","5,68182","1,77","1,35","319,0"
Create a new TraDE DDG resource,1,72,72,72,"0,00","0,000%","13,88889","14,65","4,18","1080,0"
Deploy TraDE DDG model,1,391,391,391,"0,00","0,000%","2,55754","0,24","16,57","96,0"
Create ODE container,3,65,61,68,"3,09","0,000%","5,54529","1,54","4,14","285,0"
Start ODE container,3,168,155,177,"9,42","0,000%","4,58015","0,65","1,37","146,0"
Resolve ODE page,3,3214,84,9475,"4426,72","0,000%",",31030","2,77","0,07","9143,0"
Deploy P1 process model,1,1329,1329,1329,"0,00","0,000%",",75245","0,52","9,21","704,0"
Deploy P2 process model,1,1374,1374,1374,"0,00","0,000%",",72780","0,50","9,13","704,0"
Deploy P3 process model,1,1298,1298,1298,"0,00","0,000%",",77042","0,53","7,99","704,0"
Send request to P1: Warmup,50,7008,4988,10492,"881,90","0,000%",",69127","692,38","346,14","1025651,8"
Send request to P1: Burst1,50,6698,4864,8564,"509,45","0,000%",",72840","729,57","364,73","1025651,8"
Send request to P1: Burst2,100,6877,5083,8757,"740,11","0,000%",",71424","715,40","357,65","1025651,9"
Send request to P1: Burst3,200,8013,5866,9976,"732,17","0,000%",",62025","621,25","310,58","1025652,5"
Send request to P1: Burst4,400,9881,6746,12993,"1109,78","0,000%",",50463","505,44","252,69","1025652,7"
Send request to P1: Burst5,790,14055,8518,36059,"2861,86","0,000%",",32067","321,19","160,57","1025652,9"
Stop ODE container,3,2968,2757,3311,"244,67","0,000%",",29104","0,04","0,07","146,0"
Delete ODE container,3,666,548,852,"132,93","0,000%",",37179","0,05","0,09","146,0"
Stop TraDE container,1,1502,1502,1502,"0,00","0,000%",",66578","0,09","0,16","146,0"
Delete TraDE container,1,2282,2282,2282,"0,00","0,000%",",43821","0,06","0,11","146,0"
Gesamt,1615,11183,61,36059,"3748,86","0,000%",",41429","408,55","204,25","1009796,7"
