Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,199,199,199,"0,00","0,000%","5,02513","1,40","3,25","285,0"
Start TraDE container,1,178,178,178,"0,00","0,000%","5,61798","0,80","1,68","146,0"
Resolve TraDE API endpoint,1,173,173,173,"0,00","0,000%","5,78035","1,80","1,38","319,0"
Create a new TraDE DDG resource,1,77,77,77,"0,00","0,000%","12,98701","13,70","3,91","1080,0"
Deploy TraDE DDG model,1,371,371,371,"0,00","0,000%","2,69542","0,25","17,47","96,0"
Create ODE container,3,66,49,78,"12,50","0,000%","5,38600","1,50","4,02","285,0"
Start ODE container,3,174,168,181,"5,35","0,000%","4,36047","0,62","1,31","146,0"
Resolve ODE page,3,3645,83,10433,"4801,35","0,000%",",27367","2,44","0,06","9143,0"
Deploy P1 process model,1,1384,1384,1384,"0,00","0,000%",",72254","0,50","8,84","704,0"
Deploy P2 process model,1,1392,1392,1392,"0,00","0,000%",",71839","0,49","9,01","704,0"
Deploy P3 process model,1,1291,1291,1291,"0,00","0,000%",",77459","0,53","8,04","704,0"
Send request to P1: Warmup,50,7701,5782,10133,"668,43","0,000%",",63346","634,49","317,20","1025651,8"
Send request to P1: Burst1,49,7164,1792,26544,"5809,76","0,000%",",31644","316,95","158,45","1025651,8"
Send request to P1: Burst2,99,6609,2130,26324,"4191,38","0,000%",",49330","494,10","247,01","1025651,9"
Send request to P1: Burst3,200,8259,5884,10345,"698,21","0,000%",",60100","601,97","300,94","1025652,5"
Send request to P1: Burst4,395,10255,6906,24355,"1580,44","0,000%",",42363","424,31","212,13","1025652,7"
Send request to P1: Burst5,780,14193,8480,34065,"3047,24","0,000%",",28910","289,56","144,76","1025652,9"
Stop ODE container,3,2459,2399,2516,"47,84","0,000%",",33508","0,05","0,08","146,0"
Delete ODE container,3,722,538,1036,"222,74","0,000%",",42674","0,06","0,10","146,0"
Stop TraDE container,1,1348,1348,1348,"0,00","0,000%",",74184","0,11","0,18","146,0"
Delete TraDE container,1,2252,2252,2252,"0,00","0,000%",",44405","0,06","0,11","146,0"
Gesamt,1598,11385,49,34065,"4100,05","0,000%",",36023","355,17","177,57","1009628,0"
