Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,166,166,166,"0,00","0,000%","6,02410","1,68","3,90","285,0"
Start TraDE container,1,158,158,158,"0,00","0,000%","6,32911","0,90","1,90","146,0"
Resolve TraDE API endpoint,1,181,181,181,"0,00","0,000%","5,52486","1,72","1,32","319,0"
Create a new TraDE DDG resource,1,91,91,91,"0,00","0,000%","10,98901","11,59","3,31","1080,0"
Deploy TraDE DDG model,1,381,381,381,"0,00","0,000%","2,62467","0,25","17,01","96,0"
Create ODE container,3,66,59,73,"5,73","0,000%","5,72519","1,59","4,27","285,0"
Start ODE container,3,154,153,158,"2,36","0,000%","4,83871","0,69","1,45","146,0"
Resolve ODE page,3,3373,81,9957,"4655,36","0,000%",",29586","2,64","0,07","9143,0"
Deploy P1 process model,1,1352,1352,1352,"0,00","0,000%",",73964","0,51","9,05","704,0"
Deploy P2 process model,1,1384,1384,1384,"0,00","0,000%",",72254","0,50","9,06","704,0"
Deploy P3 process model,1,1287,1287,1287,"0,00","0,000%",",77700","0,53","8,06","704,0"
Send request to P1: Warmup,50,7362,5791,10825,"776,46","0,000%",",66276","663,83","331,87","1025651,8"
Send request to P1: Burst1,50,7096,4983,9495,"852,06","0,000%",",68367","684,77","342,34","1025651,8"
Send request to P1: Burst2,99,6532,2018,27010,"4316,84","0,000%",",52946","530,31","265,12","1025651,9"
Send request to P1: Burst3,200,8484,6068,11012,"722,69","0,000%",",58561","586,55","293,23","1025652,5"
Send request to P1: Burst4,400,10266,6517,13372,"1041,65","0,000%",",48539","486,17","243,05","1025652,7"
Send request to P1: Burst5,800,14176,8483,20302,"2303,14","0,000%",",35212","352,68","176,32","1025652,9"
Stop ODE container,3,2468,2166,2646,"214,68","0,000%",",35186","0,05","0,09","146,0"
Delete ODE container,3,558,550,570,"8,64","0,000%",",46246","0,07","0,11","146,0"
Stop TraDE container,1,1460,1460,1460,"0,00","0,000%",",68493","0,10","0,17","146,0"
Delete TraDE container,1,2287,2287,2287,"0,00","0,000%",",43725","0,06","0,11","146,0"
Gesamt,1624,11417,59,27010,"3671,25","0,000%",",42622","420,35","210,15","1009884,6"
