Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,178,178,178,"0,00","0,000%","5,61798","1,56","3,64","285,0"
Start TraDE container,1,186,186,186,"0,00","0,000%","5,37634","0,77","1,61","146,0"
Resolve TraDE API endpoint,1,161,161,161,"0,00","0,000%","6,21118","1,93","1,48","319,0"
Create a new TraDE DDG resource,1,75,75,75,"0,00","0,000%","13,33333","14,06","4,01","1080,0"
Deploy TraDE DDG model,1,406,406,406,"0,00","0,000%","2,46305","0,23","15,96","96,0"
Create ODE container,3,64,52,76,"9,84","0,000%","5,19031","1,44","3,87","285,0"
Start ODE container,3,171,163,176,"5,91","0,000%","4,47094","0,64","1,34","146,0"
Resolve ODE page,3,3440,78,8542,"3667,77","0,000%",",29000","2,59","0,07","9143,0"
Deploy P1 process model,1,1400,1400,1400,"0,00","0,000%",",71429","0,49","8,74","704,0"
Deploy P2 process model,1,1379,1379,1379,"0,00","0,000%",",72516","0,50","9,09","704,0"
Deploy P3 process model,1,1276,1276,1276,"0,00","0,000%",",78370","0,54","8,13","704,0"
Send request to P1: Warmup,50,7043,5845,10340,"744,58","0,000%",",69236","693,47","346,69","1025651,8"
Send request to P1: Burst1,50,6741,5101,8208,"630,90","0,000%",",72117","722,33","361,11","1025651,8"
Send request to P1: Burst2,97,5375,2083,44451,"7375,60","0,000%",",41592","416,59","208,27","1025651,9"
Send request to P1: Burst3,200,8283,5819,9881,"619,07","0,000%",",59892","599,88","299,90","1025652,5"
Send request to P1: Burst4,400,10135,6484,14455,"1073,34","0,000%",",49189","492,68","246,30","1025652,7"
Send request to P1: Burst5,800,14337,9404,20421,"2176,32","0,000%",",34811","348,67","174,31","1025652,9"
Stop ODE container,3,2498,2332,2583,"117,39","0,000%",",33727","0,05","0,08","146,0"
Delete ODE container,3,660,539,860,"142,27","0,000%",",41993","0,06","0,10","146,0"
Stop TraDE container,1,1148,1148,1148,"0,00","0,000%",",87108","0,12","0,21","146,0"
Delete TraDE container,1,2268,2268,2268,"0,00","0,000%",",44092","0,06","0,11","146,0"
Gesamt,1622,11356,52,44451,"4109,05","0,000%",",42047","414,67","207,31","1009865,1"
