Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,178,178,178,"0,00","0,000%","5,61798","1,56","3,64","285,0"
Start TraDE container,1,177,177,177,"0,00","0,000%","5,64972","0,81","1,69","146,0"
Resolve TraDE API endpoint,1,180,180,180,"0,00","0,000%","5,55556","1,73","1,32","319,0"
Create a new TraDE DDG resource,1,77,77,77,"0,00","0,000%","12,98701","13,70","3,91","1080,0"
Deploy TraDE DDG model,1,441,441,441,"0,00","0,000%","2,26757","0,21","14,69","96,0"
Create ODE container,3,77,68,82,"6,38","0,000%","5,13699","1,43","3,83","285,0"
Start ODE container,3,172,163,177,"6,60","0,000%","4,42478","0,63","1,33","146,0"
Resolve ODE page,3,3320,144,8328,"3583,11","0,000%",",30033","2,68","0,07","9143,0"
Deploy P1 process model,1,1349,1349,1349,"0,00","0,000%",",74129","0,51","9,07","704,0"
Deploy P2 process model,1,1367,1367,1367,"0,00","0,000%",",73153","0,50","9,17","704,0"
Deploy P3 process model,1,1268,1268,1268,"0,00","0,000%",",78864","0,54","8,18","704,0"
Send request to P1: Warmup,50,7071,6205,10569,"802,91","0,000%",",68654","687,65","343,77","1025651,8"
Send request to P1: Burst1,50,6753,4964,8296,"640,46","0,000%",",72031","721,47","360,68","1025651,8"
Send request to P1: Burst2,100,7044,5158,8551,"650,66","0,000%",",69766","698,78","349,34","1025651,9"
Send request to P1: Burst3,199,7696,3052,26644,"3036,75","0,000%",",53927","540,15","270,03","1025652,5"
Send request to P1: Burst4,400,10088,6703,12899,"1004,15","0,000%",",49418","494,98","247,45","1025652,7"
Send request to P1: Burst5,790,14345,8553,37972,"2914,66","0,000%",",31475","315,26","157,61","1025652,9"
Stop ODE container,3,5186,4066,5763,"792,31","0,000%",",17466","0,02","0,04","146,0"
Delete ODE container,3,756,654,909,"109,87","0,000%",",24859","0,04","0,06","146,0"
Stop TraDE container,1,1176,1176,1176,"0,00","0,000%",",85034","0,12","0,21","146,0"
Delete TraDE container,1,2260,2260,2260,"0,00","0,000%",",44248","0,06","0,11","146,0"
Gesamt,1614,11358,68,37972,"3998,18","0,000%",",40154","395,96","197,96","1009786,9"
