Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,218,218,218,"0,00","0,000%","4,58716","1,28","2,97","285,0"
Start TraDE container,1,177,177,177,"0,00","0,000%","5,64972","0,81","1,69","146,0"
Resolve TraDE API endpoint,1,166,166,166,"0,00","0,000%","6,02410","1,88","1,44","319,0"
Create a new TraDE DDG resource,1,75,75,75,"0,00","0,000%","13,33333","14,06","4,01","1080,0"
Deploy TraDE DDG model,1,357,357,357,"0,00","0,000%","2,80112","0,26","18,15","96,0"
Create ODE container,3,67,62,71,"3,86","0,000%","5,46448","1,52","4,08","285,0"
Start ODE container,3,164,159,172,"5,72","0,000%","4,65116","0,66","1,39","146,0"
Resolve ODE page,3,3421,442,8248,"3444,11","0,000%",",29166","2,60","0,07","9143,0"
Deploy P1 process model,1,1363,1363,1363,"0,00","0,000%",",73368","0,50","8,98","704,0"
Deploy P2 process model,1,1395,1395,1395,"0,00","0,000%",",71685","0,49","8,99","704,0"
Deploy P3 process model,1,1287,1287,1287,"0,00","0,000%",",77700","0,53","8,06","704,0"
Send request to P1: Warmup,50,6652,4939,10523,"939,20","0,000%",",72999","731,17","365,53","1025651,8"
Send request to P1: Burst1,50,6531,4882,7759,"560,49","0,000%",",74349","744,69","372,29","1025651,8"
Send request to P1: Burst2,99,6412,1975,26315,"4294,58","0,000%",",53485","535,72","267,82","1025651,9"
Send request to P1: Burst3,200,8048,5571,10265,"888,77","0,000%",",61641","617,40","308,66","1025652,5"
Send request to P1: Burst4,400,10133,6343,14049,"1178,23","0,000%",",49123","492,03","245,98","1025652,7"
Send request to P1: Burst5,790,14470,9249,39631,"3188,54","0,000%",",31216","312,67","156,31","1025652,9"
Stop ODE container,3,2447,2348,2609,"115,13","0,000%",",35604","0,05","0,09","146,0"
Delete ODE container,3,549,519,565,"21,23","0,000%",",45427","0,06","0,11","146,0"
Stop TraDE container,1,1549,1549,1549,"0,00","0,000%",",64558","0,09","0,16","146,0"
Delete TraDE container,1,2321,2321,2321,"0,00","0,000%",",43085","0,06","0,10","146,0"
Gesamt,1614,11411,62,39631,"4197,30","0,000%",",40073","395,17","197,56","1009786,9"
