Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,191,191,191,"0,00","0,000%","5,23560","1,46","3,39","285,0"
Start TraDE container,1,175,175,175,"0,00","0,000%","5,71429","0,81","1,71","146,0"
Resolve TraDE API endpoint,1,164,164,164,"0,00","0,000%","6,09756","1,90","1,45","319,0"
Create a new TraDE DDG resource,1,86,86,86,"0,00","0,000%","11,62791","12,26","3,50","1080,0"
Deploy TraDE DDG model,1,460,460,460,"0,00","0,000%","2,17391","0,20","14,09","96,0"
Create ODE container,3,75,69,87,"8,49","0,000%","5,18135","1,44","3,87","285,0"
Start ODE container,3,168,155,175,"9,20","0,000%","4,48430","0,64","1,34","146,0"
Resolve ODE page,3,3503,77,10241,"4764,71","0,000%",",28485","2,54","0,07","9143,0"
Deploy P1 process model,1,1346,1346,1346,"0,00","0,000%",",74294","0,51","9,09","704,0"
Deploy P2 process model,1,1359,1359,1359,"0,00","0,000%",",73584","0,51","9,23","704,0"
Deploy P3 process model,1,1298,1298,1298,"0,00","0,000%",",77042","0,53","7,99","704,0"
Send request to P1: Warmup,50,7321,5906,9966,"796,88","0,000%",",66754","668,62","334,26","1025651,8"
Send request to P1: Burst1,50,6700,5168,9234,"776,71","0,000%",",72398","725,14","362,52","1025651,8"
Send request to P1: Burst2,99,6513,1982,27166,"4309,35","0,000%",",52285","523,70","261,81","1025651,9"
Send request to P1: Burst3,200,8042,5649,9929,"735,27","0,000%",",61778","618,77","309,34","1025652,5"
Send request to P1: Burst4,390,10318,6626,24101,"1943,79","0,000%",",37221","372,81","186,38","1025652,7"
Send request to P1: Burst5,775,14276,8197,36954,"3579,03","0,000%",",27514","275,58","137,77","1025652,9"
Stop ODE container,3,2380,2233,2490,"108,13","0,000%",",35617","0,05","0,09","146,0"
Delete ODE container,3,604,532,746,"100,41","0,000%",",46411","0,07","0,11","146,0"
Stop TraDE container,1,1379,1379,1379,"0,00","0,000%",",72516","0,10","0,18","146,0"
Delete TraDE container,1,2255,2255,2255,"0,00","0,000%",",44346","0,06","0,11","146,0"
Gesamt,1589,11373,69,36954,"4312,78","0,000%",",34854","343,61","171,79","1009537,2"
