Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,171,171,171,"0,00","0,000%","5,84795","1,63","3,79","285,0"
Start TraDE container,1,163,163,163,"0,00","0,000%","6,13497","0,87","1,84","146,0"
Resolve TraDE API endpoint,1,171,171,171,"0,00","0,000%","5,84795","1,82","1,39","319,0"
Create a new TraDE DDG resource,1,87,87,87,"0,00","0,000%","11,49425","12,12","3,46","1080,0"
Deploy TraDE DDG model,1,353,353,353,"0,00","0,000%","2,83286","0,27","18,36","96,0"
Create ODE container,3,69,67,72,"2,05","0,000%","5,30035","1,48","3,95","285,0"
Start ODE container,3,162,157,170,"5,72","0,000%","4,63679","0,66","1,39","146,0"
Resolve ODE page,3,3559,218,10037,"4581,17","0,000%",",28011","2,50","0,06","9143,0"
Deploy P1 process model,1,1375,1375,1375,"0,00","0,000%",",72727","0,50","8,90","704,0"
Deploy P2 process model,1,1392,1392,1392,"0,00","0,000%",",71839","0,49","9,01","704,0"
Deploy P3 process model,1,1294,1294,1294,"0,00","0,000%",",77280","0,53","8,02","704,0"
Send request to P1: Warmup,50,7686,7073,10360,"587,11","0,000%",",63578","636,80","318,35","1025651,8"
Send request to P1: Burst1,50,6693,5189,8332,"662,32","0,000%",",72621","727,38","363,64","1025651,8"
Send request to P1: Burst2,98,6852,1951,26057,"5357,21","0,000%",",40979","410,45","205,20","1025651,9"
Send request to P1: Burst3,200,8284,5721,10779,"648,87","0,000%",",60000","600,97","300,44","1025652,5"
Send request to P1: Burst4,400,10172,6864,13063,"983,42","0,000%",",48987","490,66","245,30","1025652,7"
Send request to P1: Burst5,790,14301,8738,28292,"2546,42","0,000%",",31555","316,05","158,00","1025652,9"
Stop ODE container,3,3033,2775,3510,"337,67","0,000%",",28994","0,04","0,07","146,0"
Delete ODE container,3,629,520,726,"84,63","0,000%",",36523","0,05","0,09","146,0"
Stop TraDE container,1,1117,1117,1117,"0,00","0,000%",",89526","0,13","0,22","146,0"
Delete TraDE container,1,2276,2276,2276,"0,00","0,000%",",43937","0,06","0,11","146,0"
Gesamt,1613,11435,67,28292,"3869,33","0,000%",",39540","389,91","194,93","1009777,0"
